First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,IsCyclic?,Approved/Rejected,Reasons_for_Rejection,Other_Comments
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109955"",""Formation of ERCC1:XPF heterodimeric complex"")",109955,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782141"",""Binding of ERCC1:ERCC4 (ERCC1:XPF) to pre-incision complex in TC-NER"")",6782141,"Hoeijmakers, JH",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109955"",""Formation of ERCC1:XPF heterodimeric complex"")",109955,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6785732"",""DNA nucleases bind monoubiquitinated ID2 complex"")",6785732,"Orlic-Milacic, M",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109955"",""Formation of ERCC1:XPF heterodimeric complex"")",109955,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5686657"",""ERCC1:XPF cleaves flaps generated by SSA"")",5686657,"Orlic-Milacic, M",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110311"",""POLZ extends translesion synthesis"")",110311,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5655835"",""POLK forms a quaternary complex with REV1 and POLZ on damaged DNA template"")",5655835,"Orlic-Milacic, M",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110311"",""POLZ extends translesion synthesis"")",110311,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5652151"",""REV1 recruits POLZ to (AP:Cyt)-DNA Template"")",5652151,"Orlic-Milacic, M",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110311"",""POLZ extends translesion synthesis"")",110311,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5656105"",""POLI simultaneously binds REV1 and monoUb:K164-PCNA at damaged DNA"")",5656105,"Orlic-Milacic, M",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110322"",""Formation of Pol zeta complex"")",110322,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5655835"",""POLK forms a quaternary complex with REV1 and POLZ on damaged DNA template"")",5655835,"Orlic-Milacic, M",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110322"",""Formation of Pol zeta complex"")",110322,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5656105"",""POLI simultaneously binds REV1 and monoUb:K164-PCNA at damaged DNA"")",5656105,"Orlic-Milacic, M",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110349"",""Displacement of UNG glycosylase by APEX1 at the AP site"")",110349,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110157"",""UNG glycosylase mediated recognition and binding of a 5-hydroxyuracil opposite to a guanine"")",110157,"Matthews, L",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110349"",""Displacement of UNG glycosylase by APEX1 at the AP site"")",110349,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110156"",""UNG glycosylase mediated recognition and binding of an uracil opposite to a guanine"")",110156,"Matthews, L",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110350"",""Displacement of TDG glycosylase by APEX1 at the AP site"")",110350,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110210"",""TDG glycosylase mediated recognition and binding of an ethenocytosine"")",110210,"Matthews, L",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110350"",""Displacement of TDG glycosylase by APEX1 at the AP site"")",110350,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110159"",""TDG glycosylase mediated recognition and binding of an uracil opposite to a guanine"")",110159,"Matthews, L",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110350"",""Displacement of TDG glycosylase by APEX1 at the AP site"")",110350,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110158"",""TDG glycosylase mediated recognition and binding of a thymine opposite to a guanine"")",110158,"Matthews, L",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110351"",""Displacement of SMUG1 glycosylase by APEX1 at the AP site"")",110351,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110164"",""SMUG1 glycosylase mediated recognition and binding of uracil in DNA"")",110164,"Matthews, L",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110352"",""Displacement of NTHL1 glycosylase by APEX1 at the AP site"")",110352,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110208"",""NTHL1 glycosylase mediated recognition and binding of cytosine glycol"")",110208,"Matthews, L",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110352"",""Displacement of NTHL1 glycosylase by APEX1 at the AP site"")",110352,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110211"",""NTHL1 glycosylase mediated recognition and binding of thymine glycol"")",110211,"Matthews, L",No,False,,,
