First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,IsCyclic?,Approved/Rejected,Reasons_for_Rejection,Other_Comments
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1980047"",""NOTCH1 stimulates HES1 transcription"")",1980047,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210836"",""HNF6-dependent synthesis of NEUROG3 protein during morphogenesis"")",210836,"Ferrer, J",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210769"",""HNF6- and FGF10-dependent synthesis of PDX1 protein"")",210769,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211346"",""NEUROD1- and PDX1-dependent synthesis of glucokinase (GCK) protein"")",211346,"Ferrer, J",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210769"",""HNF6- and FGF10-dependent synthesis of PDX1 protein"")",210769,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211350"",""PDX1-dependent synthesis of NKX6-1 protein"")",211350,"Ferrer, J",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210769"",""HNF6- and FGF10-dependent synthesis of PDX1 protein"")",210769,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211301"",""PDX1-dependent synthesis of IAPP protein"")",211301,"Ferrer, J",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210769"",""HNF6- and FGF10-dependent synthesis of PDX1 protein"")",210769,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211289"",""MAFA-, NKX2-2-, PAX6-, and PDX1-dependent synthesis of insulin precursor protein"")",211289,"Ferrer, J",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210824"",""HNF6-dependent synthesis of HNF1B protein"")",210824,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210784"",""HNF1B-dependent synthesis of HNF6 protein"")",210784,"Ferrer, J",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210824"",""HNF6-dependent synthesis of HNF1B protein"")",210824,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210788"",""HNF1B- and FGF10-dependent synthesis of PTF1A protein"")",210788,"Ferrer, J",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210920"",""NEUROG3-dependent synthesis of NEUROD1"")",210920,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211346"",""NEUROD1- and PDX1-dependent synthesis of glucokinase (GCK) protein"")",211346,"Ferrer, J",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210921"",""NEUROG3-dependent synthesis of NKX2-2"")",210921,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211289"",""MAFA-, NKX2-2-, PAX6-, and PDX1-dependent synthesis of insulin precursor protein"")",211289,"Ferrer, J",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211272"",""FOXOA2-, MAFA-, and PAX6-dependent synthesis of PDX1 protein"")",211272,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210773"",""PDX1-dependent synthesis of NR5A2 protein"")",210773,"Ferrer, J",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211272"",""FOXOA2-, MAFA-, and PAX6-dependent synthesis of PDX1 protein"")",211272,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210780"",""PDX1-dependent synthesis of NKX6-1 protein"")",210780,"Ferrer, J",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374675"",""L1 dimer binds Ankyrin"")",374675,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445076"",""Phosphorylation of Y1229 in L1"")",445076,"Garapati, P V",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374675"",""L1 dimer binds Ankyrin"")",374675,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-392751"",""L1 linked to actin cytoskeleton by ankyrin"")",392751,"Garapati, P V",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375160"",""NCAM1 binds to ATP"")",375160,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-419033"",""NCAM1 binds FGFR-1"")",419033,"Garapati, P V",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375161"",""NCAM1 trans-homophilic interaction"")",375161,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-525833"",""NCAM1 interacts with T- and L-type VDCC"")",525833,"Garapati, P V",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376119"",""Interaction of Bnip-2 with Cdc42"")",376119,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376117"",""JLP interacts with CDO complex"")",376117,"Garapati, P V",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-381290"",""PPARG:RXRA heterodimer binds to PPARG corepressors"")",381290,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1183032"",""Expression of GLUT4"")",1183032,"May, B",Yes,False,,,
