First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,IsCyclic?,Approved/Rejected,Reasons_for_Rejection,Other_Comments
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1176059"",""Translocation of Influenza A virus nonstructural protein 1 (NS1A) into the nucleus"")",1176059,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6791035"",""Release of NS1 homodimer"")",6791035,"Gillespie, ME",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222412"",""lpdC dimer reactivates dlaT"")",1222412,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222690"",""DlaT reactivates AhpD"")",1222690,"Stephan, R",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""TrxA reactivates AhpC"")",1222417,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222346"",""AhpC reduces H2O2"")",1222346,"Stephan, R",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""TrxA reactivates AhpC"")",1222417,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222526"",""AhpC reduces peroxidated lipids"")",1222526,"Stephan, R",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""TrxA reactivates AhpC"")",1222417,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222431"",""Peroxynitrite is reduced to nitrite by AhpC"")",1222431,"Stephan, R",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222485"",""TrxB reactivates TrxA"")",1222485,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222363"",""MsrA/B reduces peptide-methionine S/R-sulfoxides"")",1222363,"Stephan, R",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222485"",""TrxB reactivates TrxA"")",1222485,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""TrxA reactivates AhpC"")",1222417,"Stephan, R",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222644"",""TrxA/B1 reactivates Tpx"")",1222644,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222755"",""Peroxynitrite is reduced to nitrite by Tpx"")",1222755,"Stephan, R",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""AhpD reactivates AhpC"")",1222655,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222346"",""AhpC reduces H2O2"")",1222346,"Stephan, R",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""AhpD reactivates AhpC"")",1222655,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222526"",""AhpC reduces peroxidated lipids"")",1222526,"Stephan, R",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""AhpD reactivates AhpC"")",1222655,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222431"",""Peroxynitrite is reduced to nitrite by AhpC"")",1222431,"Stephan, R",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222690"",""DlaT reactivates AhpD"")",1222690,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""AhpD reactivates AhpC"")",1222655,"Stephan, R",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1225949"",""Binding of CBL to ligand-responsive p-6Y-EGFR mutants"")",1225949,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1225956"",""Inefficient ubiquitination of ligand-responsive p-6Y-EGFR mutants by p-Y371-CBL"")",1225956,"Orlic-Milacic, M",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1227964"",""ERBB2 homodimerization"")",1227964,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1218833"",""Binding of ligand-responsive EGFR mutants to chaperoning proteins HSP90 and CDC37"")",1218833,"Orlic-Milacic, M",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1227964"",""ERBB2 homodimerization"")",1227964,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1247999"",""EGFRvIII mutant binds chaperone proteins HSP90 and CDC37."")",1247999,"Orlic-Milacic, M",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250253"",""TXNIP is released from oxidized thioredoxin"")",1250253,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250272"",""TXNIP binds NLRP3"")",1250272,"Jupe, S",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1306876"",""NLRP3 activation by small molecules"")",1306876,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-873951"",""SGT1:HSP90 binds inactive NLRP3"")",873951,"Jupe, S",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""Myristoylation of Nef"")",162914,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3149454"",""Packaging of HIV virion on the host cell plasma membrane"")",3149454,"Gillespie, ME",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""Myristoylation of Nef"")",162914,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200858"",""Nef Binds and activates the Src-family tyrosine kinase Hck"")",200858,"Gillespie, ME",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""Myristoylation of Nef"")",162914,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200954"",""Nef Binds and activates the Src-family tyrosine kinase Lck"")",200954,"Gillespie, ME",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""Myristoylation of Nef"")",162914,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200952"",""Nef binds a ternary complex comprising DOCK2 guanine nucleotide exchange factor for small Rho-family GTPase Rac, its cofactor ELMO1, and Rac, and activates Rac through this interaction"")",200952,,No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""Myristoylation of Nef"")",162914,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164943"",""Nef mediated activation of the T-cell receptor"")",164943,"Gillespie, ME",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""Myristoylation of Nef"")",162914,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200908"",""Nef Binds and activates the Src-family tyrosine kinase Fyn"")",200908,"Gillespie, ME",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""Myristoylation of Nef"")",162914,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167566"",""Nef mediated disruption of CD4:Lck Complex"")",167566,"Gillespie, ME",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""Myristoylation of Nef"")",162914,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200879"",""Formation of a Nef:ARF1:CD4 complex"")",200879,"Gillespie, ME",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""Myristoylation of Nef"")",162914,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167630"",""Formation of Nef CD28 cytoplasmic tail complex"")",167630,"Gillespie, ME",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""Myristoylation of Nef"")",162914,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182243"",""Formation of MHC I:Nef Complex"")",182243,"Gillespie, ME",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164504"",""Synthesis of minus strand strong stop DNA (-sssDNA)"")",164504,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-180634"",""Association of APOBEC3G with single-stranded region of forming HIV-1 minus strand"")",180634,"Matthews, L",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164522"",""Terminal (3' end) cleavage of viral DNA"")",164522,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-180627"",""Interaction of Vpr with importin alpha"")",180627,"Matthews, L",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164522"",""Terminal (3' end) cleavage of viral DNA"")",164522,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-180622"",""Vpr binds nucleoporins"")",180622,"Matthews, L",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164522"",""Terminal (3' end) cleavage of viral DNA"")",164522,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-180630"",""Association of APOBEC3G with Gag"")",180630,"Matthews, L",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165028"",""Release of the HIV mRNA and Crm1 from Rev in the cytoplasm"")",165028,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187213"",""Synthesis of GAG polyprotein"")",187213,"Gillespie, ME",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165028"",""Release of the HIV mRNA and Crm1 from Rev in the cytoplasm"")",165028,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3149454"",""Packaging of HIV virion on the host cell plasma membrane"")",3149454,"Gillespie, ME",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165028"",""Release of the HIV mRNA and Crm1 from Rev in the cytoplasm"")",165028,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-180739"",""Association of RanBP1 with Ran-GTP:CRM1:Rev:mRNA complex"")",180739,"Rice, AP",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165047"",""Translocation of nuclear RNA transport complex to cytoplasm"")",165047,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165043"",""Rev multimer-bound HIV mRNA:Crm1:Ran:GTP complex associates with the NPC"")",165043,"Rice, AP",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165047"",""Translocation of nuclear RNA transport complex to cytoplasm"")",165047,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-180622"",""Vpr binds nucleoporins"")",180622,"Matthews, L",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165047"",""Translocation of nuclear RNA transport complex to cytoplasm"")",165047,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-180710"",""Rev:importin beta:B23 recruited to the nuclear pore"")",180710,"Matthews, L",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165047"",""Translocation of nuclear RNA transport complex to cytoplasm"")",165047,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614369"",""Transport of HCMV DNA Into the Nucleus"")",9614369,,No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165047"",""Translocation of nuclear RNA transport complex to cytoplasm"")",165047,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614367"",""HCMV Nuclear Pore Docking"")",9614367,,No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165047"",""Translocation of nuclear RNA transport complex to cytoplasm"")",165047,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9636128"",""Translocation of SCP, Triplex (TRI) complex, CVC complex, and Accessory Proteins from the cytoplasm into the nucleous"")",9636128,"Gillespie, ME",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165047"",""Translocation of nuclear RNA transport complex to cytoplasm"")",165047,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9629004"",""Transport of MCP:pPR-AP:pAP Complex into the Nucleous"")",9629004,,No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165047"",""Translocation of nuclear RNA transport complex to cytoplasm"")",165047,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168880"",""vRNP Export through the nuclear pore"")",168880,,No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165047"",""Translocation of nuclear RNA transport complex to cytoplasm"")",165047,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-192627"",""Viral mRNA Export"")",192627,"Bortz, E",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165047"",""Translocation of nuclear RNA transport complex to cytoplasm"")",165047,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-192925"",""Export of Spliced Viral mRNA"")",192925,"Bortz, E",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165047"",""Translocation of nuclear RNA transport complex to cytoplasm"")",165047,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1176059"",""Translocation of Influenza A virus nonstructural protein 1 (NS1A) into the nucleus"")",1176059,"Gillespie, ME",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165047"",""Translocation of nuclear RNA transport complex to cytoplasm"")",165047,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168337"",""Docking and transport of the RNP:Karyopherin complex through the nuclear pore"")",168337,"Gillespie, ME",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167072"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",167072,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167077"",""Recruitment of elongation factors to form HIV-1 elongation complex"")",167077,"Rice, AP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167072"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",167072,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167072"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",167072,"Rice, AP",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167072"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",167072,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167196"",""Recruitment of elongation factors to form HIV-1 elongation complex"")",167196,"Rice, AP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167072"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",167072,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613490"",""Unwinding of DNA for the nascent HIV-1 transcript: Second Transition"")",9613490,"Rice, AP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167072"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",167072,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613498"",""Unwinding of DNA for the nascent HIV-1 transcript"")",9613498,"Rice, AP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167072"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",167072,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167097"",""HIV Promoter Opening: First Transition"")",167097,"Rice, AP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167084"",""Hyperphosphorylation (Ser2) of RNA Pol II CTD by P-TEFb complex"")",167084,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167089"",""Recognition and binding of the HIV-1 mRNA cap by the cap-binding complex"")",167089,"Rice, AP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167085"",""Formation of DSIF:NELF:HIV-1 early elongation complex"")",167085,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167191"",""Hyperphosphorylation (Ser2) of RNA Pol II CTD by the P-TEFb(Cyclin T1:Cdk9) complex"")",167191,"Rice, AP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167121"",""Addition of the third nucleotide on the nascent HIV-1 transcript"")",167121,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167113"",""Addition of the fourth nucleotide on the nascent HIV-1 transcript: Second Transition"")",167113,"Rice, AP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167134"",""Newly formed phosphodiester bond stabilized and PPi released"")",167134,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167121"",""Addition of the third nucleotide on the nascent HIV-1 transcript"")",167121,"Rice, AP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167134"",""Newly formed phosphodiester bond stabilized and PPi released"")",167134,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167477"",""Abortive HIV-1 initiation after formation of the first phosphodiester bond"")",167477,"Rice, AP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167148"",""TFIIS-mediated recovery of elongation from arrest"")",167148,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167076"",""2-4 nt.backtracking of Pol II complex on the HIV-1 template leading to elongation pausing"")",167076,"Rice, AP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167148"",""TFIIS-mediated recovery of elongation from arrest"")",167148,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167090"",""7-14 nt. Backtracking of Pol II complex on the HIV-1 template leading to elongation arrest"")",167090,"Rice, AP",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167150"",""Resumption of elongation of HIV-1 transcript after recovery from pausing"")",167150,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167076"",""2-4 nt.backtracking of Pol II complex on the HIV-1 template leading to elongation pausing"")",167076,"Rice, AP",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167150"",""Resumption of elongation of HIV-1 transcript after recovery from pausing"")",167150,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167090"",""7-14 nt. Backtracking of Pol II complex on the HIV-1 template leading to elongation arrest"")",167090,"Rice, AP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167181"",""Addition of nucleotides leads to HIV-1 transcript elongation"")",167181,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167077"",""Recruitment of elongation factors to form HIV-1 elongation complex"")",167077,"Rice, AP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167181"",""Addition of nucleotides leads to HIV-1 transcript elongation"")",167181,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167072"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",167072,"Rice, AP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167181"",""Addition of nucleotides leads to HIV-1 transcript elongation"")",167181,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167196"",""Recruitment of elongation factors to form HIV-1 elongation complex"")",167196,"Rice, AP",Yes,True,,,
