,First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,IsCyclic?,Approved/Rejected,Reasons_for_Rejection,Other_Comments,Trans_Approved/Rejected,Trans_Reason,Trans_Comment
0,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1006169"",""Factor H binds host cell surface markers"")",1006169,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-977363"",""Factor H binds to C3bBb"")",977363,"Jupe, S",Yes,False,,,,,,
1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1015702"",""Expression of IFN-induced genes"")",1015702,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169397"",""Activation of ISG15 by UBA7 E1 ligase"")",1169397,"Garapati, P V",No,False,,,,Approved,,
2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1015702"",""Expression of IFN-induced genes"")",1015702,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169399"",""Interaction of ISG15 with NEDD4 and inhibition of Ebola virus budding"")",1169399,"Garapati, P V",No,False,,,,Approved,,
3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1015702"",""Expression of IFN-induced genes"")",1015702,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169307"",""Monoubiquitination of N-myristoyl GAG (P12493) protein"")",1169307,"Garapati, P V",No,False,,,,,,
4,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1015702"",""Expression of IFN-induced genes"")",1015702,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8985201"",""ABCE1 binds RNASEL"")",8985201,"Shamovsky, V",No,False,,,,Approved,,
5,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028816"",""Translocation of phosphorylated IRF3,IRF7 dimers into nucleus"")",1028816,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-933536"",""p-IRF7 dimer interacts with coactivator CBP/p300"")",933536,"Garapati, P V",Yes,False,,,,Approved,,
6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028816"",""Translocation of phosphorylated IRF3,IRF7 dimers into nucleus"")",1028816,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3134883"",""Beta-catenin enhances association of IRF3 with CBP/p300 "")",3134883,"Shamovsky, V",No,False,,,,,,
7,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028821"",""Dimerization of Phospho IRF3 or phospho IRF7"")",1028821,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-933531"",""Translocation of p-IRF7:p-IRF7 to nucleus"")",933531,"Garapati, P V",No,False,,,,???,"redundancy for R-HSA-1028821 and R-HSA-933533, which is a preceding for R-HSA-933531",
8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028821"",""Dimerization of Phospho IRF3 or phospho IRF7"")",1028821,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2032396"",""Dimerized phospho-IRF3 migrates to the nucleus"")",2032396,"Shamovsky, V",No,False,,,,???,"redundancy for R-HSA-1028821 and R-HSA-2395992, which is a preceding for R-HSA-2032396",
9,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028821"",""Dimerization of Phospho IRF3 or phospho IRF7"")",1028821,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9604487"",""p-IRF7:p-IRF7 translocates to the nucleus"")",9604487,"Garapati, P V",No,False,,,,???,"redundancy for R-HSA-1028821 and R-HSA-933533, which is a preceding for R-HSA-933532",
10,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1031716"",""Expression of IFNG-stimulated genes"")",1031716,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8856157"",""LAG3 (CD233) binds MHC II"")",8856157,"Garapati, P V",No,False,,,,Approved,,
11,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1031716"",""Expression of IFNG-stimulated genes"")",1031716,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2213240"",""Reduction of disulphide bonds in MHC II antigens"")",2213240,"Garapati, P V",No,False,,,,Approved,,
12,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1031716"",""Expression of IFNG-stimulated genes"")",1031716,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-983146"",""Interaction of beta-2-microglobulin (B2M) chain with  class I HC"")",983146,"Garapati, P V",No,False,,,,,,
13,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1067646"",""JAK1,JAK2,(TYK2) bind IL6ST"")",1067646,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-449976"",""IL11:IL11RA binds IL6ST:JAK1,JAK2,(TYK2)"")",449976,"Jupe, S",Yes,False,,,,Approved,,
14,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1067646"",""JAK1,JAK2,(TYK2) bind IL6ST"")",1067646,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-448427"",""Interleukin-27 binds Interleukin-27 receptor"")",448427,"Jupe, S",No,False,,,,Approved,,
15,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1067676"",""IL6:IL6R-2 binds IL6ST-2"")",1067676,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1067651"",""IL6:IL6R-2 binds IL6ST:JAK1, JAK2, (TYK2)"")",1067651,"Ray, KP",Yes,False,,,,,,
16,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112604"",""Phosphorylated STATs are released"")",1112604,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112755"",""SOCS3 binds IL6ST"")",1112755,"Ray, KP",Yes,False,,,,Rejected,release of activated STAT1/3 from the IL6R complex,
17,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112604"",""Phosphorylated STATs are released"")",1112604,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112565"",""Tyrosine phosphorylated IL6ST binds STAT1,STAT3"")",1112565,"Ray, KP",Yes,False,,,,Rejected,release of activated STAT1/3 from the IL6R complex,
18,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112604"",""Phosphorylated STATs are released"")",1112604,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112708"",""PTPN11 binds p-Y759-IL6ST"")",1112708,"Ray, KP",Yes,False,,,,Rejected,release of activated STAT1/3 from the IL6R complex,
19,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112755"",""SOCS3 binds IL6ST"")",1112755,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112602"",""Tyrosine phosphorylation of STAT1, STAT3 by IL6 receptor"")",1112602,"Ray, KP",Yes,False,,,,Approved,,
20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168636"",""p-RasGRP1,3:DAG cause RAS to exchange GDP for GTP"")",1168636,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5624494"",""RAF1 binds p21 RAS:GTP"")",5624494,"Garapati, P V",No,False,,,,Rejected,two different signaling pathways; B cell receptor and C-type lectin,
21,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168777"",""Metalloprotease cleavage of GHR"")",1168777,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1362465"",""GHBP binds GHR"")",1362465,"Herington, AC",Yes,False,,,,Approved,,
22,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168777"",""Metalloprotease cleavage of GHR"")",1168777,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1362485"",""GHBP binds GH"")",1362485,"Herington, AC",Yes,False,,,,Approved,,
23,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168894"",""p-STAT5A/B dissociates from the Growth Hormone receptor"")",1168894,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168813"",""SOCS binding to JAK2"")",1168813,"Jupe, S",Yes,False,,,,Rejected,1168894- is a dissociation with a release of an active component from the receptor complex (input of 1168813),
24,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168894"",""p-STAT5A/B dissociates from the Growth Hormone receptor"")",1168894,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168809"",""SOCS binding to GHR"")",1168809,"Jupe, S",Yes,False,,,,Rejected,1168894- is a dissociation with a release of an active component from the receptor complex (input of 1168809),
25,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168894"",""p-STAT5A/B dissociates from the Growth Hormone receptor"")",1168894,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168445"",""PTP1B binds the GH receptor complex"")",1168445,"Jupe, S",Yes,False,,,,Rejected,1168894- is a dissociation with a release of an active component from the receptor complex (input of 1168445),
26,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168894"",""p-STAT5A/B dissociates from the Growth Hormone receptor"")",1168894,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168393"",""STAT5 association with GHR"")",1168393,"Jupe, S",Yes,False,,,,Rejected,1168894- is a dissociation with a release of an active component from the receptor complex (input of 1168393),
27,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168894"",""p-STAT5A/B dissociates from the Growth Hormone receptor"")",1168894,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168839"",""SHP1 (PTPN6) binds JAK2 in the receptor complex"")",1168839,"Jupe, S",Yes,False,,,,Rejected,1168894- is a dissociation with a release of an active component from the receptor complex (input of 1168839),
28,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169394"",""ISGylation of IRF3"")",1169394,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-936462"",""PIN1 mediated IRF3 degradation"")",936462,"Garapati, P V",No,False,,,,,,
29,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169394"",""ISGylation of IRF3"")",1169394,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169404"",""Transfer of ISG15 from E1 to E2 (UBCH8)"")",1169404,"Garapati, P V",Yes,False,,,,Rejected,Transfer with releasing E2 ubiquitin-conjugating enzyme,
30,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169395"",""ISGylation of viral protein NS1"")",1169395,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1176059"",""Translocation of Influenza A virus nonstructural protein 1 (NS1A) into the nucleus"")",1176059,"Gillespie, ME",No,False,,,,,,
31,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169395"",""ISGylation of viral protein NS1"")",1169395,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169404"",""Transfer of ISG15 from E1 to E2 (UBCH8)"")",1169404,"Garapati, P V",Yes,False,,,,Rejected,Transfer with releasing E2 ubiquitin-conjugating enzyme,
32,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169398"",""ISGylation of host protein filamin B"")",1169398,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169404"",""Transfer of ISG15 from E1 to E2 (UBCH8)"")",1169404,"Garapati, P V",Yes,False,,,,Rejected,Transfer with releasing E2 ubiquitin-conjugating enzyme,
33,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169402"",""ISGylation of E2 conjugating enzymes"")",1169402,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169404"",""Transfer of ISG15 from E1 to E2 (UBCH8)"")",1169404,"Garapati, P V",Yes,False,,,,Rejected,Transfer with releasing E2 ubiquitin-conjugating enzyme,
34,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169403"",""Interaction of E3 ligase with ISG15:E2 complex"")",1169403,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1678843"",""ISGylation of protein translation regulator 4EHP"")",1678843,"Garapati, P V",Yes,False,,,,Approved,,
35,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169404"",""Transfer of ISG15 from E1 to E2 (UBCH8)"")",1169404,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169397"",""Activation of ISG15 by UBA7 E1 ligase"")",1169397,"Garapati, P V",Yes,True,,,,Rejected,"1169397 is preceding event of 1169404; ISG15 is transfered from E1 (UBA7) to the E2 conjugating enzyme UBCH8, releasing UBA7 in 1169404, while consuming UBA7 by 1169397",
36,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169405"",""ISGylation of protein phosphatase 1 beta (PP2CB)"")",1169405,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169404"",""Transfer of ISG15 from E1 to E2 (UBCH8)"")",1169404,"Garapati, P V",Yes,False,,,,Rejected,Transfer with releasing E2 ubiquitin-conjugating enzyme,
37,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169406"",""ISGylation of host proteins"")",1169406,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1678841"",""Regulation of protein ISGylation by ISG15 deconjugating enzyme USP18"")",1678841,"Garapati, P V",Yes,True,,,,Approved,,
38,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169406"",""ISGylation of host proteins"")",1169406,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169404"",""Transfer of ISG15 from E1 to E2 (UBCH8)"")",1169404,"Garapati, P V",Yes,False,,,,Rejected,Transfer with releasing E2 ubiquitin-conjugating enzyme,
39,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1170539"",""Prolactin receptor is internalized"")",1170539,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1370500"",""PRLR binds SCF beta-TrCP complex"")",1370500,"Jupe, S",Yes,True,,,,Rejected,1370500 is preceding of 1170539; Ubiquitinated form of PRLR is internalized. Ub modification is missing for output instance oF p-S349-PRLR in 1370500,
40,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1170539"",""Prolactin receptor is internalized"")",1170539,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-209125"",""SCF Beta-TrCP complex binds to NFKB p50:p65: phospho IKBA complex"")",209125,"Ray, KP",No,False,,,,Rejected,Release of components during dissociation of the complex.,
41,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1170539"",""Prolactin receptor is internalized"")",1170539,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-209063"",""Beta-TrCP ubiquitinates NFKB p50:p65:phospho IKBA complex"")",209063,"Ray, KP",No,False,,,,Rejected,Release of components during dissociation of the complex.,
42,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1236964"",""Translocation of peptide bound MHC class I complex to cell surface"")",1236964,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-198955"",""TCR complex interacts with peptide antigen-presenting MHC Class I"")",198955,"de Bono, B",No,False,,,,,,
43,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1236965"",""Export of peptide loaded MHC class I complex to PM"")",1236965,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-198955"",""TCR complex interacts with peptide antigen-presenting MHC Class I"")",198955,"de Bono, B",No,False,,,,,,
44,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250253"",""TXNIP is released from oxidized thioredoxin"")",1250253,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250272"",""TXNIP binds NLRP3"")",1250272,"Jupe, S",Yes,False,,,,,,
45,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1306876"",""NLRP3 activation by small molecules"")",1306876,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-873951"",""SGT1:HSP90 binds inactive NLRP3"")",873951,"Jupe, S",Yes,True,,,,,,
46,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1362465"",""GHBP binds GHR"")",1362465,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-982775"",""Growth hormone receptor dimerizes"")",982775,"Jupe, S",Yes,False,,,,,,
47,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1370500"",""PRLR binds SCF beta-TrCP complex"")",1370500,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-976991"",""Prolactin receptor ligands bind the prolactin receptor"")",976991,"Jupe, S",Yes,False,,,,,,
48,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1606324"",""Recruitment TBK1 to dsDNA:ZBP1 followed by its activation"")",1606324,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948703"",""NLRP4 and DTX4 associate with p-S172-TBK1 within dsDNA:ZBP1:TBK1"")",8948703,"Shamovsky, V",Yes,False,,,,,,
49,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1606327"",""Phosphorylation and release of IRF3 "")",1606327,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948703"",""NLRP4 and DTX4 associate with p-S172-TBK1 within dsDNA:ZBP1:TBK1"")",8948703,"Shamovsky, V",Yes,True,,,,,,
50,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1606327"",""Phosphorylation and release of IRF3 "")",1606327,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1606345"",""Recruitment of IRF3 to activated ZBP1:TBK1"")",1606345,"Shamovsky, V",Yes,True,,,,,,
51,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166038"",""GPI-bound CD14 binds LPS"")",166038,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166015"",""Association of LBP with LPS"")",166015,"de Bono, B",Yes,True,,,,,,
52,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166038"",""GPI-bound CD14 binds LPS"")",166038,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8869683"",""oxPL binds LBP"")",8869683,"Shamovsky, V",No,False,,,,,,
53,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166168"",""TLR4:LY96:LPS:CD14 recruits TRAM (TICAM2)"")",166168,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166175"",""TRAM:TLR4:LY96:LPS:CD14 recruits TRIF (TICAM1)"")",166175,"de Bono, B",No,False,,,,,,
54,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166245"",""Phosphorylation of IRF-3/IRF7 and their release from the activated TLR complex "")",166245,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166271"",""IRF3/IRF7 recruitment to p-TBK1/p-IKK epsilon bound to the activated TLR4"")",166271,"de Bono, B",Yes,True,,,,,,
55,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166362"",""Dissociation of hp-IRAK1:TRAF6 from the activated TLR:oligo-Myd88:TIRAP:p-IRAK4 complex"")",166362,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166091"",""IRAK1 or IRAK2 binds to the activated IRAK4 :activated TLR:MyD88:TIRAP complex"")",166091,"de Bono, B",Yes,False,,,,,,
56,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166795"",""Formation of Classical C3 convertase (C4b:C2a complex)"")",166795,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173636"",""Formation of classic pathway C5 convertase"")",173636,"de Bono, B",Yes,False,,,,,,
57,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166795"",""Formation of Classical C3 convertase (C4b:C2a complex)"")",166795,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-981648"",""C4b binding protein binds C4bC2a"")",981648,"Jupe, S",Yes,False,,,,,,
58,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166817"",""Cleavage of C3 by C3 convertases"")",166817,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-981539"",""C3b binds to cell surface"")",981539,"Jupe, S",Yes,False,,,,,,
59,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1675473"",""SH2B binds JAK2"")",1675473,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-982810"",""JAK2 phosphorylation"")",982810,"Jupe, S",Yes,False,,,,Approved,Definition of preceding following events?,
60,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1678843"",""ISGylation of protein translation regulator 4EHP"")",1678843,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1678842"",""Competitive inhibition of translation initiation by ISGylated 4EHP"")",1678842,"Garapati, P V",Yes,False,,,,Approved,,
61,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1678944"",""Folded full-length TLR7/8/9 dissociates from the GP96:CNPY3 complex "")",1678944,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1678923"",""TLR folding by chaperones GP96 and CNPY3"")",1678923,"Shamovsky, V",Yes,True,,,,,,
62,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168140"",""Phospho-IKK Complex phosphorylates NFkB inhibitor within the NFkB inhibitor:NFkB complex"")",168140,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9630923"",""NFkB inhibitor binds NFkB complex"")",9630923,"Shamovsky, V",Yes,True,,,,Rejected,R-HSA-9630923 is preceding of R-HSA-168140,
63,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168166"",""NFkB complex is transported from cytosol to nucleus"")",168166,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-448703"",""Interleukin-1 family precursors are cleaved by caspase-1"")",448703,"Ray, KP",No,False,,,,Approved?,missing a transcription event of pro-IL1B,
64,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168166"",""NFkB complex is transported from cytosol to nucleus"")",168166,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9603905"",""Expression of NLRP3 gene"")",9603905,"Jassal, B",No,False,,,,,,
65,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168400"",""iE-DAP elicits a NOD1 response"")",168400,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-622420"",""NOD1 induced apoptosis is mediated by RIP2 and CARD8"")",622420,"Jupe, S",Yes,False,,,,,,
66,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168909"",""viral dsRNA:IFIH1, viral dsRNA:K63polyUb-DDX58 bind MAVS"")",168909,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-918230"",""Recruitment of TRAF6/TRAF2 to IPS-1"")",918230,"Garapati, P V",Yes,False,,,,,,
67,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168910"",""RIP1 facilitates IKK complex phosphorylation"")",168910,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5684275"",""IKBKB phosphorylates TPL2 (MAP3K8) at Ser400"")",5684275,"Shamovsky, V",No,False,,,,Rejected???,I did not find literature references to support TPL2 activation downstream of ZBP1,
68,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168910"",""RIP1 facilitates IKK complex phosphorylation"")",168910,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5684267"",""IKBKB phosphorylates NFkB p105 within the NFkB p105:TPL2:ABIN2 complex"")",5684267,"Shamovsky, V",No,False,,,,Rejected???,I did not find literature references to support TPL2 activation downstream of ZBP1,
69,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168915"",""K63-linked ubiquitination of RIP1 bound to the activated TLR complex"")",168915,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2562541"",""TLR4-induced ripoptosome assembly"")",2562541,"Shamovsky, V",Yes,False,,,,,,
70,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168930"",""Viral dsRNA:TLR3:TRIF complex recruits RIP1"")",168930,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9013889"",""TLR3-induced ripoptosome assembly"")",9013889,"Shamovsky, V",Yes,False,,,,,,
71,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169680"",""IP3 binds to the IP3 receptor, opening the endoplasmic reticulum Ca2+ channel"")",169680,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168376"",""STIM1 oligomerizes"")",1168376,"May, B",Yes,False,,,,,,
72,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169719"",""Secreted CD14 binds LPS"")",169719,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166015"",""Association of LBP with LPS"")",166015,"de Bono, B",Yes,True,,,,,,
73,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169719"",""Secreted CD14 binds LPS"")",169719,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8869683"",""oxPL binds LBP"")",8869683,"Shamovsky, V",No,False,,,,,,
74,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174551"",""Formation of alternative pathway C5 convertase"")",174551,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-444647"",""C3a receptor binds anaphylatoxin C3a"")",444647,"Jupe, S",Yes,False,,,,,,
75,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183130"",""C3(H2O):Factor Bb cleaves C3 to C3b and C3a"")",183130,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-444647"",""C3a receptor binds anaphylatoxin C3a"")",444647,"Jupe, S",Yes,False,,,,,,
76,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183130"",""C3(H2O):Factor Bb cleaves C3 to C3b and C3a"")",183130,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-976768"",""Factor H binds to C3b"")",976768,"Jupe, S",Yes,False,,,,,,
77,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1834939"",""STING recruits TBK1 and IRF3"")",1834939,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2396002"",""TBK1 is phosphorylated within STING:TBK1:IRF3 complex"")",2396002,"Shamovsky, V",Yes,False,,,,,,
78,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-198270"",""PDPK1 phosphorylates AKT at T308"")",198270,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2317314"",""AKT binds PDPK1"")",2317314,"Orlic-Milacic, M",No,True,,,,,,
79,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202164"",""Translocation of PDK1 to Plasma membrane"")",202164,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202394"",""Translocation of CARMA1 to Plasma membrane"")",202394,"de Bono, B",No,False,,,,Approved,,
80,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202164"",""Translocation of PDK1 to Plasma membrane"")",202164,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202222"",""Phosphorylation of PKC theta"")",202222,"de Bono, B",No,False,,,,Approved,,
81,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202174"",""Activation of ZAP-70"")",202174,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202216"",""Phosphorylation of SLP-76"")",202216,"de Bono, B",Yes,False,,,,Approved,,
