,First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,IsCyclic?,Approved/Rejected,Reasons_for_Rejection,Other_Comments,Trans_Approved/Rejected,Trans_Reason,Trans_Comment
0,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109339"",""Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation"")",109339,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73916"",""2 acetyl-CoA <=> acetoacetyl-CoA + CoA"")",73916,,No,False,,,,,,
1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109339"",""Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation"")",109339,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73918"",""acetoacetyl-CoA+acetyl-CoA => HMG-CoA + CoASH"")",73918,,No,False,,,,,,
2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109339"",""Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation"")",109339,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8874745"",""ACAA2 tetramer transfers acyl group from Ac-CoA to acyl-CoA forming 3OA-CoA and CoA-SH"")",8874745,"Jassal, B",Yes,False,,,,,,
3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109339"",""Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation"")",109339,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70975"",""Acetyl-CoA + H2O + Oxaloacetate => Citrate + CoA"")",70975,,No,False,,,,,,
4,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109339"",""Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation"")",109339,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-203946"",""PDK isoforms phosphorylate lipo-PDH"")",203946,"Gopinathrao, G",No,False,,,,,,
5,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109339"",""Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation"")",109339,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70501"",""Pyruvate + CO2 + ATP => ADP + Orthophosphate + Oxaloacetate"")",70501,,No,False,,,,,,
6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109339"",""Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation"")",109339,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8954468"",""NAT8L transfers acetyl group from Ac-CoA to L-Asp, forming NAA"")",8954468,"Jassal, B",No,False,,,,,,
7,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109339"",""Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation"")",109339,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70542"",""glutamate + acetyl CoA => N-acetyl glutamate + CoA"")",70542,"D'Eustachio, P",No,False,,,,,,
8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109342"",""Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation"")",109342,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73916"",""2 acetyl-CoA <=> acetoacetyl-CoA + CoA"")",73916,,No,False,,,,,,
9,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109342"",""Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation"")",109342,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73918"",""acetoacetyl-CoA+acetyl-CoA => HMG-CoA + CoASH"")",73918,,No,False,,,,,,
