First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,IsCyclic?,Approved/Rejected,Reasons_for_Rejection,Other_Comments
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""RNA Polymerase III Abortive Initiation At Type 3 Open Promoters"")",112054,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""RNA Polymerase III Abortive Initiation At Type 3 Open Promoters"")",112054,"Geiduschek, EP",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""RNA Polymerase III Abortive Initiation At Type 1 Open Promoters"")",112055,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""RNA Polymerase III Abortive Initiation At Type 1 Open Promoters"")",112055,"Geiduschek, EP",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""RNA Polymerase III Abortive Initiation At Type 2 Open Promoters"")",112149,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""RNA Polymerase III Abortive Initiation At Type 2 Open Promoters"")",112149,"Geiduschek, EP",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""RNA Polymerase III Simple Start Sequence Initiation At Type 1 Promoters"")",112153,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""RNA Polymerase III Abortive Initiation At Type 2 Open Promoters"")",112149,"Geiduschek, EP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""RNA Polymerase III Simple Start Sequence Initiation At Type 1 Promoters"")",112153,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""RNA Polymerase III Abortive Initiation At Type 1 Open Promoters"")",112055,"Geiduschek, EP",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""RNA Polymerase III Simple Start Sequence Initiation At Type 1 Promoters"")",112153,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""RNA Polymerase III Abortive Initiation At Type 3 Open Promoters"")",112054,"Geiduschek, EP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""RNA Polymerase III Simple Start Sequence Initiation At Type 1 Promoters"")",112153,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""RNA Polymerase III Simple Start Sequence Initiation At Type 1 Promoters"")",112153,"Geiduschek, EP",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""RNA Polymerase III Simple Start Sequence Initiation At Type 2 Promoters"")",112155,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""RNA Polymerase III Abortive Initiation At Type 2 Open Promoters"")",112149,"Geiduschek, EP",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""RNA Polymerase III Simple Start Sequence Initiation At Type 2 Promoters"")",112155,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""RNA Polymerase III Abortive Initiation At Type 1 Open Promoters"")",112055,"Geiduschek, EP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""RNA Polymerase III Simple Start Sequence Initiation At Type 2 Promoters"")",112155,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""RNA Polymerase III Abortive Initiation At Type 3 Open Promoters"")",112054,"Geiduschek, EP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""RNA Polymerase III Simple Start Sequence Initiation At Type 2 Promoters"")",112155,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""RNA Polymerase III Simple Start Sequence Initiation At Type 2 Promoters"")",112155,"Geiduschek, EP",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""RNA Polymerase III Simple Start Sequence Initiation At Type 3 Promoters"")",112156,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""RNA Polymerase III Abortive Initiation At Type 2 Open Promoters"")",112149,"Geiduschek, EP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""RNA Polymerase III Simple Start Sequence Initiation At Type 3 Promoters"")",112156,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""RNA Polymerase III Abortive Initiation At Type 1 Open Promoters"")",112055,"Geiduschek, EP",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""RNA Polymerase III Simple Start Sequence Initiation At Type 3 Promoters"")",112156,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""RNA Polymerase III Abortive Initiation At Type 3 Open Promoters"")",112054,"Geiduschek, EP",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""RNA Polymerase III Simple Start Sequence Initiation At Type 3 Promoters"")",112156,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""RNA Polymerase III Simple Start Sequence Initiation At Type 3 Promoters"")",112156,"Geiduschek, EP",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112381"",""Hyperphosphorylation (Ser2) of RNA Pol II CTD by P-TEFb complex"")",112381,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814885"",""CBCAP complex binds 7-methylguanosine cap of snRNA"")",6814885,"May, B",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",112383,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109639"",""Formation of the closed pre-initiation complex"")",109639,"Reinberg, D",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",112383,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",112383,"Gopinathrao, G",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",112383,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112379"",""Recruitment of elongation factors to form elongation complex"")",112379,,Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",112383,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613494"",""Unwinding of DNA for the Nascent Transcript: Second Transition"")",9613494,"Timmers, HTM",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",112383,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613497"",""Unwinding DNA for the nascent transcript"")",9613497,"Timmers, HTM",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",112383,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75949"",""RNA Polymerase II Promoter Opening: First Transition"")",75949,"Timmers, HTM",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",112383,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73758"",""Recruitment of Active RNA Polymerase I to SL1:phos.UBF-1:rDNA Promoter"")",73758,"Comai, L",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""Addition of nucleotides leads to transcript elongation"")",112385,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109639"",""Formation of the closed pre-initiation complex"")",109639,"Reinberg, D",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""Addition of nucleotides leads to transcript elongation"")",112385,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")",112383,"Gopinathrao, G",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""Addition of nucleotides leads to transcript elongation"")",112385,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112379"",""Recruitment of elongation factors to form elongation complex"")",112379,,Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""Addition of nucleotides leads to transcript elongation"")",112385,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613494"",""Unwinding of DNA for the Nascent Transcript: Second Transition"")",9613494,"Timmers, HTM",Yes,False,,,
