First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,IsCyclic?,Approved/Rejected,Reasons_for_Rejection,Other_Comments
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114670"",""GPIb-IX-V binds to vWF:Collagen complex"")",114670,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429529"",""Thrombin binding to GP1b:IX:V"")",429529,"Akkerman, JW",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140664"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (prothrombinase catalyst)"")",140664,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114697"",""Activated thrombin (factor IIa) cleaves PAR3,4, activating them"")",114697,"de Bono, B",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140664"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (prothrombinase catalyst)"")",140664,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9708859"",""Activated thrombin (factor IIa) cleaves F2R (PAR1), activating it"")",9708859,"de Bono, B",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140664"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (prothrombinase catalyst)"")",140664,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429529"",""Thrombin binding to GP1b:IX:V"")",429529,"Akkerman, JW",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140664"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (prothrombinase catalyst)"")",140664,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5578883"",""Heparin cofactor 2 (SERPIND1) binds activated thrombin (factor IIa)"")",5578883,"Jupe, S",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140696"",""factor V -> factor Va + factor V activation peptide"")",140696,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141026"",""Activated protein C cleaves factor Va to factor Vi intermediate form"")",141026,"D'Eustachio, P",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (Xa catalyst)"")",140700,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114697"",""Activated thrombin (factor IIa) cleaves PAR3,4, activating them"")",114697,"de Bono, B",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (Xa catalyst)"")",140700,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9708859"",""Activated thrombin (factor IIa) cleaves F2R (PAR1), activating it"")",9708859,"de Bono, B",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (Xa catalyst)"")",140700,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429529"",""Thrombin binding to GP1b:IX:V"")",429529,"Akkerman, JW",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (Xa catalyst)"")",140700,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158137"",""factor VIII:von Willibrand factor multimer -> factor VIIIa + factor VIIIa B A3 acidic polypeptide + von Willibrand factor multimer"")",158137,"D'Eustachio, P",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (Xa catalyst)"")",140700,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158419"",""factor XI:platelet glycoprotein (GP) Ib:IX:V complex -> factor XIa:platelet glycoprotein (GP) Ib:IX:V complex (thrombin catalyst)"")",158419,"D'Eustachio, P",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (Xa catalyst)"")",140700,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140599"",""factor XIII -> factor XIII cleaved tetramer + 2 factor XIII A activation peptides"")",140599,"D'Eustachio, P",Yes,False,,,
