First_Reaction,Second_Reaction,Second_Reaction_Author,SBGN_Status,Cyclic?,Expected_Release,Review_Status,Approved/Rejected,Reasons_for_Rejection,Other_Comments
Factor H binds host cell surface markers,Factor H binds to C3bBb,"Jupe, S",Same,FALSE,,,,,
Expression of IFN-induced genes,Activation of ISG15 by UBA7 E1 ligase,"Garapati, P V",Different,FALSE,,Completed,Approved,,
Expression of IFN-induced genes,Interaction of ISG15 with NEDD4 and inhibition of Ebola virus budding,"Garapati, P V",Different,FALSE,,Completed,Approved,,
Expression of IFN-induced genes,Monoubiquitination of N-myristoyl GAG (P12493) protein,"Garapati, P V",Different,FALSE,,,,"??? the events are connected by the negative regulation instance; When negative regulator is present then 1015702 is a preceding event; In general, these two events may happen simultaneously.",
Expression of IFN-induced genes,ABCE1 binds RNASEL,"Shamovsky, V",Different,FALSE,,,Approved,,
"Translocation of phosphorylated IRF3,IRF7 dimers into nucleus",p-IRF7 dimer interacts with coactivator CBP/p300,"Garapati, P V",Same,FALSE,,,Approved,,
"Translocation of phosphorylated IRF3,IRF7 dimers into nucleus",Beta-catenin enhances association of IRF3 with CBP/p300,"Shamovsky, V",Different,FALSE,,,,,
Dimerization of Phospho IRF3 or phospho IRF7,Translocation of p-IRF7:p-IRF7 to nucleus,"Garapati, P V",Different,FALSE,,,???,"redundancy for R-HSA-1028821 and R-HSA-933533, which is a preceding for R-HSA-933531",
Dimerization of Phospho IRF3 or phospho IRF7,Dimerized phospho-IRF3 migrates to the nucleus,"Shamovsky, V",Different,FALSE,,,???,"redundancy for R-HSA-1028821 and R-HSA-2395992, which is a preceding for R-HSA-2032396",
Dimerization of Phospho IRF3 or phospho IRF7,p-IRF7:p-IRF7 translocates to the nucleus,"Garapati, P V",Different,FALSE,,,???,"redundancy for R-HSA-1028821 and R-HSA-933533, which is a preceding for R-HSA-933532",
Expression of IFNG-stimulated genes,LAG3 (CD233) binds MHC II,"Garapati, P V",Different,FALSE,,,Approved,,
Expression of IFNG-stimulated genes,Reduction of disulphide bonds in MHC II antigens,"Garapati, P V",Different,FALSE,,,Approved,,
Expression of IFNG-stimulated genes,Interaction of beta-2-microglobulin (B2M) chain with  class I HC,"Garapati, P V",Different,FALSE,,,,,
"JAK1,JAK2,(TYK2) bind IL6ST","IL11:IL11RA binds IL6ST:JAK1,JAK2,(TYK2)","Jupe, S",Same,FALSE,,Completed,Approved,,
"JAK1,JAK2,(TYK2) bind IL6ST",Interleukin-27 binds Interleukin-27 receptor,"Jupe, S",Different,FALSE,,Completed,Approved,,
IL6:IL6R-2 binds IL6ST-2,"IL6:IL6R-2 binds IL6ST:JAK1, JAK2, (TYK2)","Ray, KP",Same,FALSE,,,,??? the events are connected by negative regulation instance; R-HSA-1067676 is a preceding event only if negative regulator is present,
Phosphorylated STATs are released,SOCS3 binds IL6ST,"Ray, KP",Same,FALSE,,Completed,Rejected,release of activated STAT1/3 from the IL6R complex,
Phosphorylated STATs are released,"Tyrosine phosphorylated IL6ST binds STAT1,STAT3","Ray, KP",Same,FALSE,,Completed,Rejected,release of activated STAT1/3 from the IL6R complex,
Phosphorylated STATs are released,PTPN11 binds p-Y759-IL6ST,"Ray, KP",Same,FALSE,,Completed,Rejected,release of activated STAT1/3 from the IL6R complex,
SOCS3 binds IL6ST,"Tyrosine phosphorylation of STAT1, STAT3 by IL6 receptor","Ray, KP",Same,FALSE,,Completed,Approved,,
"p-RasGRP1,3:DAG cause RAS to exchange GDP for GTP",RAF1 binds p21 RAS:GTP,"Garapati, P V",Different,FALSE,,,Rejected,two different signaling pathways; B cell receptor and C-type lectin,
Metalloprotease cleavage of GHR,GHBP binds GHR,"Herington, AC",Same,FALSE,,Completed,Approved,,
Metalloprotease cleavage of GHR,GHBP binds GH,"Herington, AC",Same,FALSE,,Completed,Approved,,
p-STAT5A/B dissociates from the Growth Hormone receptor,SOCS binding to JAK2,"Jupe, S",Same,FALSE,,Completed,Rejected,1168894- is a dissociation with a release of an active component from the receptor complex (input of 1168813),
p-STAT5A/B dissociates from the Growth Hormone receptor,SOCS binding to GHR,"Jupe, S",Same,FALSE,,Completed,Rejected,1168894- is a dissociation with a release of an active component from the receptor complex (input of 1168809),
p-STAT5A/B dissociates from the Growth Hormone receptor,PTP1B binds the GH receptor complex,"Jupe, S",Same,FALSE,,Completed,Rejected,1168894- is a dissociation with a release of an active component from the receptor complex (input of 1168445),
p-STAT5A/B dissociates from the Growth Hormone receptor,STAT5 association with GHR,"Jupe, S",Same,FALSE,,Completed,Rejected,1168894- is a dissociation with a release of an active component from the receptor complex (input of 1168393),
p-STAT5A/B dissociates from the Growth Hormone receptor,SHP1 (PTPN6) binds JAK2 in the receptor complex,"Jupe, S",Same,FALSE,,Completed,Rejected,1168894- is a dissociation with a release of an active component from the receptor complex (input of 1168839),
ISGylation of IRF3,PIN1 mediated IRF3 degradation,"Garapati, P V",Different,FALSE,,,,?,
ISGylation of IRF3,Transfer of ISG15 from E1 to E2 (UBCH8),"Garapati, P V",Same,FALSE,,Completed,Rejected,Transfer with releasing E2 ubiquitin-conjugating enzyme,
ISGylation of viral protein NS1,Translocation of Influenza A virus nonstructural protein 1 (NS1A) into the nucleus,"Gillespie, ME",Different,FALSE,,,,"??? the events are connected by the negative regulation instance; When negative regulator is present then 1169395 is a preceding event; In general, these two events may happen simultaneously.",
ISGylation of viral protein NS1,Transfer of ISG15 from E1 to E2 (UBCH8),"Garapati, P V",Same,FALSE,,Completed,Rejected,Transfer with releasing E2 ubiquitin-conjugating enzyme,
ISGylation of host protein filamin B,Transfer of ISG15 from E1 to E2 (UBCH8),"Garapati, P V",Same,FALSE,,Completed,Rejected,Transfer with releasing E2 ubiquitin-conjugating enzyme,
ISGylation of E2 conjugating enzymes,Transfer of ISG15 from E1 to E2 (UBCH8),"Garapati, P V",Same,FALSE,,Completed,Rejected,Transfer with releasing E2 ubiquitin-conjugating enzyme,
Interaction of E3 ligase with ISG15:E2 complex,ISGylation of protein translation regulator 4EHP,"Garapati, P V",Same,FALSE,,Completed,Approved,,
Transfer of ISG15 from E1 to E2 (UBCH8),Activation of ISG15 by UBA7 E1 ligase,"Garapati, P V",Same,TRUE,,Completed,Rejected,"1169397 is preceding event of 1169404; ISG15 is transfered from E1 (UBA7) to the E2 conjugating enzyme UBCH8, releasing UBA7 in 1169404, while consuming UBA7 by 1169397",
ISGylation of protein phosphatase 1 beta (PP2CB),Transfer of ISG15 from E1 to E2 (UBCH8),"Garapati, P V",Same,FALSE,,Completed,Rejected,Transfer with releasing E2 ubiquitin-conjugating enzyme,
ISGylation of host proteins,Regulation of protein ISGylation by ISG15 deconjugating enzyme USP18,"Garapati, P V",Same,TRUE,,Completed,Approved,,
