First_Reaction,Second_Reaction,Second_Reaction_Author,SBGN_Status,Cyclic?,Expected_Release,Review_Status,Approved/Rejected,Reasons_for_Rejection,Other_Comments
"Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation",2 acetyl-CoA <=> acetoacetyl-CoA + CoA,,Different,FALSE,,,,,
"Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation",acetoacetyl-CoA+acetyl-CoA => HMG-CoA + CoASH,,Different,FALSE,,,,,
"Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation",ACAA2 tetramer transfers acyl group from Ac-CoA to acyl-CoA forming 3OA-CoA and CoA-SH,"Jassal, B",Same,FALSE,,,,,
"Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation",Acetyl-CoA + H2O + Oxaloacetate => Citrate + CoA,,Different,FALSE,,,,,
"Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation",PDK isoforms phosphorylate lipo-PDH,"Gopinathrao, G",Different,FALSE,,,,,
"Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation",Pyruvate + CO2 + ATP => ADP + Orthophosphate + Oxaloacetate,,Different,FALSE,,,,,
"Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation","NAT8L transfers acetyl group from Ac-CoA to L-Asp, forming NAA","Jassal, B",Different,FALSE,,,,,
"Linoleoyl-CoA is converted to cis,cis-3,6- dodecadienoyl-CoA by three cycles of beta-oxidation",glutamate + acetyl CoA => N-acetyl glutamate + CoA,"D'Eustachio, P",Different,FALSE,,,,,
"Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation",2 acetyl-CoA <=> acetoacetyl-CoA + CoA,,Different,FALSE,,,,,
"Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation",acetoacetyl-CoA+acetyl-CoA => HMG-CoA + CoASH,,Different,FALSE,,,,,
