First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,IsCyclic?,Approved/Rejected,Reasons_for_Rejection,Other_Comments
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404134"",""RBP4:atROL binds TTR"")",2404134,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2453876"",""TTR:RBP:atROL binds to STRA6 receptor"")",2453876,"Jassal, B",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404137"",""LRAT esterifies RBP1:atROL and FACYLs to atREs"")",2404137,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74843"",""atROL binds RBP1 to form RBP1:atROL"")",74843,"Carleton, KL",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404137"",""LRAT esterifies RBP1:atROL and FACYLs to atREs"")",2404137,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2855259"",""atROL binds RBP1 (parenchymal cell)"")",2855259,"Jassal, B",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404137"",""LRAT esterifies RBP1:atROL and FACYLs to atREs"")",2404137,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404142"",""atROL binds RBP1"")",2404142,"Jassal, B",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404144"",""Parenchymal atROL translocates to HSCs"")",2404144,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74843"",""atROL binds RBP1 to form RBP1:atROL"")",74843,"Carleton, KL",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404144"",""Parenchymal atROL translocates to HSCs"")",2404144,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2855259"",""atROL binds RBP1 (parenchymal cell)"")",2855259,"Jassal, B",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2453855"",""LRAT esterifies RBP1:atROL and FACYLs to atREs"")",2453855,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74843"",""atROL binds RBP1 to form RBP1:atROL"")",74843,"Carleton, KL",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2453855"",""LRAT esterifies RBP1:atROL and FACYLs to atREs"")",2453855,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2855259"",""atROL binds RBP1 (parenchymal cell)"")",2855259,"Jassal, B",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2453855"",""LRAT esterifies RBP1:atROL and FACYLs to atREs"")",2453855,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404142"",""atROL binds RBP1"")",2404142,"Jassal, B",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2454264"",""11cROL binds to RLBP1 to form RLBP1:11cROL"")",2454264,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465919"",""AWAT2 transfers PALM to 11cROL forming 11cRPALM"")",2465919,"Jassal, B",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465926"",""An atROL isomerase isomerises atROL to 11cROL"")",2465926,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2454081"",""RDH5 oxidises 11cROL to 11cRAL"")",2454081,"Jassal, B",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465926"",""An atROL isomerase isomerises atROL to 11cROL"")",2465926,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74872"",""RDH10,11 oxidise 11cROL to 11cRAL"")",74872,"Carleton, KL",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2485182"",""Gt-GTP dissociates to GNAT1-GTP and GNB1:GNGT1"")",2485182,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74882"",""GNAT1-GDP binds to GNB1:GNGT1"")",74882,"Schmidt, EE",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2514865"",""cGMP dissociates from CNG channels"")",2514865,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3229181"",""CALM1:Ca2+ binds CNG channel"")",3229181,"Jassal, B",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2514865"",""cGMP dissociates from CNG channels"")",2514865,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74031"",""cGMP binds CNG channel to form cGMP:CNG channel"")",74031,"Schmidt, EE",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2534096"",""METAP1/2 demethylates GNAT1"")",2534096,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2534087"",""NMT1/2 transfer MYS to GNAT1"")",2534087,"Jassal, B",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2534096"",""METAP1/2 demethylates GNAT1"")",2534096,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2534040"",""Unknown NAT N-acylates Gly in GNAT1"")",2534040,"Jassal, B",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2581474"",""GRK1,4,7 phosphorylate MII to p-MII"")",2581474,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2485180"",""MII catalyses GDP/GTP exchange on Gt"")",2485180,"Jassal, B",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2581488"",""SAG binds p-MII to form p-MII:SAG"")",2581488,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2581474"",""GRK1,4,7 phosphorylate MII to p-MII"")",2581474,"Jassal, B",Yes,True,,,
