First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,IsCyclic?,Approved/Rejected,Reasons_for_Rejection,Other_Comments
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190782"",""Budding of connexon-containing transport vesicles from the Golgi"")",190782,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190541"",""Association of Cx43  with TJP1"")",190541,"Falk, MM",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190877"",""Insertion of connexons into the plasma membrane resulting in the formation of hemi-channels"")",190877,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190520"",""Association of Golgi  transport vesicles with microtubules"")",190520,"Falk, MM",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190877"",""Insertion of connexons into the plasma membrane resulting in the formation of hemi-channels"")",190877,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2316347"",""RAB4A:GTP binds KIF3 and activates KIF3"")",2316347,"May, B",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-203973"",""Vesicle budding"")",203973,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694417"",""SEC16 complex binds SAR1B:GTP:SEC23:SEC24"")",5694417,"Rothfels, K",Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376357"",""Vamp7 associated Lysosome to Plasma membrane transport"")",376357,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1449574"",""SLC2A4 (GLUT4) vesicle fuses with the plasma membrane"")",1449574,"May, B",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376357"",""Vamp7 associated Lysosome to Plasma membrane transport"")",376357,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376357"",""Vamp7 associated Lysosome to Plasma membrane transport"")",376357,"Gillespie, ME",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376357"",""Vamp7 associated Lysosome to Plasma membrane transport"")",376357,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376369"",""Vamp2 associated secretory vesicle to plasma membrane transport"")",376369,"Gillespie, ME",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376357"",""Vamp7 associated Lysosome to Plasma membrane transport"")",376357,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376364"",""Vamp8 associated secretory vesicle to plasma membrane transport"")",376364,"Gillespie, ME",Yes,True,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376357"",""Vamp7 associated Lysosome to Plasma membrane transport"")",376357,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8863718"",""AGFG1 binds VAMP7"")",8863718,"Rothfels, K",No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376364"",""Vamp8 associated secretory vesicle to plasma membrane transport"")",376364,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1449574"",""SLC2A4 (GLUT4) vesicle fuses with the plasma membrane"")",1449574,"May, B",No,False,,,
