First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,Shared_Entity,Shared_Entity_Class,Shared_Entity_Relation_to_Second_Reaction,IsCyclic?,Logic,Value,Is _It_Curated?
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188979"",""Digestion of linear starch (amylose) by extracellular amylase"")",188979,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191108"",""maltose + H2O => 2 D-glucose (sucrase-isomaltase)"")",191108,"D'Eustachio, P",Yes,Mal [extracellular region],SimpleEntity,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188979"",""Digestion of linear starch (amylose) by extracellular amylase"")",188979,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189102"",""maltose + H2O => 2 D-glucose (maltase-glucoamylase)"")",189102,"D'Eustachio, P",Yes,Mal [extracellular region],SimpleEntity,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188979"",""Digestion of linear starch (amylose) by extracellular amylase"")",188979,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191116"",""maltotriose + H2O => maltose + D-glucose (maltase-glucoamylase)"")",191116,"D'Eustachio, P",Yes,maltotriose [extracellular region],SimpleEntity,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188979"",""Digestion of linear starch (amylose) by extracellular amylase"")",188979,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191101"",""maltotriose + H2O => maltose + D-glucose (sucrase-isomaltase)"")",191101,"D'Eustachio, P",Yes,maltotriose [extracellular region],SimpleEntity,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189053"",""Digestion of 1-6 linkages of limit dextrins to yield maltose, maltotriose, longer maltosides, and glucose"")",189053,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191108"",""maltose + H2O => 2 D-glucose (sucrase-isomaltase)"")",191108,"D'Eustachio, P",Yes,Mal [extracellular region],SimpleEntity,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189053"",""Digestion of 1-6 linkages of limit dextrins to yield maltose, maltotriose, longer maltosides, and glucose"")",189053,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189102"",""maltose + H2O => 2 D-glucose (maltase-glucoamylase)"")",189102,"D'Eustachio, P",Yes,Mal [extracellular region],SimpleEntity,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189053"",""Digestion of 1-6 linkages of limit dextrins to yield maltose, maltotriose, longer maltosides, and glucose"")",189053,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191116"",""maltotriose + H2O => maltose + D-glucose (maltase-glucoamylase)"")",191116,"D'Eustachio, P",Yes,maltotriose [extracellular region],SimpleEntity,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189053"",""Digestion of 1-6 linkages of limit dextrins to yield maltose, maltotriose, longer maltosides, and glucose"")",189053,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191101"",""maltotriose + H2O => maltose + D-glucose (sucrase-isomaltase)"")",191101,"D'Eustachio, P",Yes,maltotriose [extracellular region],SimpleEntity,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189069"",""sucrose + H2O => glucose + fructose"")",189069,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189222"",""SLC2A5 transports fructose from extracellular region to cytosol"")",189222,"D'Eustachio, P",No,Fru [extracellular region],SimpleEntity,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191101"",""maltotriose + H2O => maltose + D-glucose (sucrase-isomaltase)"")",191101,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191108"",""maltose + H2O => 2 D-glucose (sucrase-isomaltase)"")",191108,"D'Eustachio, P",Yes,Mal [extracellular region],SimpleEntity,Input,False,OR,0,True
