First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,Shared_Entity,Shared_Entity_Class,Shared_Entity_Relation_to_Second_Reaction,IsCyclic?,Logic,Value,Is _It_Curated?
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1006169"",""Factor H binds host cell surface markers"")",1006169,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-981728"",""Factor H binds to membrane-associated C3b"")",981728,"Jupe, S",Yes,CFH:Host cell surface [plasma membrane],Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1006169"",""Factor H binds host cell surface markers"")",1006169,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-977363"",""Factor H binds to C3bBb"")",977363,"Jupe, S",Yes,CFH:Host cell surface [plasma membrane],Complex,Positive Regulator,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1015699"",""ISGF3 binds the ISRE promoter elements in IFN-stimulated genes"")",1015699,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1015702"",""Expression of IFN-induced genes"")",1015702,"Garapati, P V",Yes,ISGF3 bound to ISRE promotor elements [nucleoplasm],Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1015702"",""Expression of IFN-induced genes"")",1015702,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169397"",""Activation of ISG15 by UBA7 E1 ligase"")",1169397,"Garapati, P V",No,ISG15 [cytosol],EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1015702"",""Expression of IFN-induced genes"")",1015702,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169399"",""Interaction of ISG15 with NEDD4 and inhibition of Ebola virus budding"")",1169399,"Garapati, P V",No,ISG15 [cytosol],EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1015702"",""Expression of IFN-induced genes"")",1015702,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169307"",""Monoubiquitination of N-myristoyl GAG (P12493) protein"")",1169307,"Garapati, P V",No,ISG15 [cytosol],EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1015702"",""Expression of IFN-induced genes"")",1015702,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8985201"",""ABCE1 binds RNASEL"")",8985201,"Shamovsky, V",No,RNASEL [cytosol],EntityWithAccessionedSequence,Input,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028815"",""p-T,4S-IRF3:p-T,4S-IRF3:CREBBP, EP300 binds promoters of Interferon-beta"")",1028815,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028812"",""Expression of interferon-beta"")",1028812,"Garapati, P V",Yes,"p-T,4S-IRF3:p-T,4S-IRF3:CREBBP, EP300:Promotor region of interferon beta [nucleoplasm]",Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028816"",""Translocation of phosphorylated IRF3,IRF7 dimers into nucleus"")",1028816,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028817"",""CREBBP, EP300 binds p-T,4S-IRF3:p-T,4S-IRF3"")",1028817,"Garapati, P V",Yes,"p-T,4S-IRF3:p-T,4S-IRF3 [nucleoplasm]",Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028816"",""Translocation of phosphorylated IRF3,IRF7 dimers into nucleus"")",1028816,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-933536"",""p-IRF7 dimer interacts with coactivator CBP/p300"")",933536,"Garapati, P V",Yes,"2xp-S477,S479-IRF7 [nucleoplasm]",Complex,Input,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028816"",""Translocation of phosphorylated IRF3,IRF7 dimers into nucleus"")",1028816,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028820"",""Formation of VAF (virus-activated factor) complex"")",1028820,"Garapati, P V",Yes,IRF3-P:IRF7-P [nucleoplasm],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028816"",""Translocation of phosphorylated IRF3,IRF7 dimers into nucleus"")",1028816,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3134883"",""Beta-catenin enhances association of IRF3 with CBP/p300 "")",3134883,"Shamovsky, V",No,"p-T,4S-IRF3:p-T,4S-IRF3 [nucleoplasm]",Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028817"",""CREBBP, EP300 binds p-T,4S-IRF3:p-T,4S-IRF3"")",1028817,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028815"",""p-T,4S-IRF3:p-T,4S-IRF3:CREBBP, EP300 binds promoters of Interferon-beta"")",1028815,"Garapati, P V",Yes,"p-T,4S-IRF3:p-T,4S-IRF3:CREBBP, EP300 [nucleoplasm]",Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028819"",""VAF/pIRF7:CBP/p300 binds the promoters of type-I IFN genes"")",1028819,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9604499"",""Expression of Interferon-alpha and beta mediated by VAF/pIRF7:CBP/p300"")",9604499,"Garapati, P V",Yes,VAF/pIRF7:CBP/p300 bound to type I IFN gene promoter [nucleoplasm],Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028821"",""Dimerization of Phospho IRF3 or phospho IRF7"")",1028821,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-933531"",""Translocation of p-IRF7:p-IRF7 to nucleus"")",933531,"Garapati, P V",No,p-2S-IRF7:p-2S-IRF7 [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028821"",""Dimerization of Phospho IRF3 or phospho IRF7"")",1028821,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028816"",""Translocation of phosphorylated IRF3,IRF7 dimers into nucleus"")",1028816,"Garapati, P V",Yes,"p-T,4S-IRF3:p-T,4S-IRF3 [cytosol]",Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028821"",""Dimerization of Phospho IRF3 or phospho IRF7"")",1028821,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028816"",""Translocation of phosphorylated IRF3,IRF7 dimers into nucleus"")",1028816,"Garapati, P V",Yes,IRF3-P:IRF7-P [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028821"",""Dimerization of Phospho IRF3 or phospho IRF7"")",1028821,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028816"",""Translocation of phosphorylated IRF3,IRF7 dimers into nucleus"")",1028816,"Garapati, P V",Yes,p-2S-IRF7:p-2S-IRF7 [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028821"",""Dimerization of Phospho IRF3 or phospho IRF7"")",1028821,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2032396"",""Dimerized phospho-IRF3 migrates to the nucleus"")",2032396,"Shamovsky, V",No,"p-T,4S-IRF3:p-T,4S-IRF3 [cytosol]",Complex,Input,False,OR,0,False
