First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,Shared_Entity,Shared_Entity_Class,Shared_Entity_Relation_to_Second_Reaction,IsCyclic?,Logic,Value,Is _It_Curated?
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2032800"",""Expression of NPPA (ANF)"")",2032800,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5578783"",""CORIN(802-1042) hydrolyses NPPA to form NPPA(124-151)"")",5578783,"Jassal, B",No,NPPA(1-153) [extracellular region],EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-390593"",""ATP Hydrolysis By Myosin"")",390593,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-390597"",""Release Of ADP From Myosin"")",390597,"Gillespie, ME",Yes,ADP:Calcium Bound Sarcomere Protein Complex [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-390595"",""Calcium Binds Troponin-C"")",390595,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-390598"",""Myosin Binds ATP"")",390598,"Gillespie, ME",Yes,Calcium Bound Sarcomere Protein Complex [cytosol],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-390597"",""Release Of ADP From Myosin"")",390597,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-390598"",""Myosin Binds ATP"")",390598,"Gillespie, ME",Yes,Calcium Bound Sarcomere Protein Complex [cytosol],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-390598"",""Myosin Binds ATP"")",390598,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-390593"",""ATP Hydrolysis By Myosin"")",390593,"Gillespie, ME",Yes,ATP:Calcium Bound Sarcomere Protein Complex [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-392143"",""NO binds to Guanylate Cyclase"")",392143,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-392152"",""Soluble guanylate cyclase converts GTP to cGMP"")",392152,"Akkerman, JW",Yes,Guanylate cyclase:NO [cytosol],Complex,Catalyst,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445699"",""ATP Hydrolysis By Myosin"")",445699,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445705"",""Release Of ADP From Myosin"")",445705,"Gillespie, ME",Yes,ADP:Calcium Bound Myosin Actin Complex [plasma membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445700"",""Myosin Binds ATP"")",445700,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445699"",""ATP Hydrolysis By Myosin"")",445699,"Gillespie, ME",Yes,ATP:Calcium Bound Myosin Actin Complex [plasma membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445704"",""Calcium Binds Caldesmon"")",445704,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445700"",""Myosin Binds ATP"")",445700,"Gillespie, ME",Yes,Calcium Bound Myosin Actin Complex [plasma membrane],Complex,Input,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445705"",""Release Of ADP From Myosin"")",445705,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445700"",""Myosin Binds ATP"")",445700,"Gillespie, ME",Yes,Calcium Bound Myosin Actin Complex [plasma membrane],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445797"",""MYLK (MLCK) Active Calmodulin Binding"")",445797,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445813"",""Phosphorylation of Smooth Muscle Myosin Light Chains"")",445813,"Gillespie, ME",No,MYLK:Ca2+:CALM1 [cytosol],Complex,Catalyst,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5226904"",""AHCYL1:NAD+ binds ITPR1:I(1,3,5)P3 tetramer, inhibiting it"")",5226904,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169683"",""IP3R:I(1,4,5)P3 tetramer transports Ca2+ from ER lumen to cytosol"")",169683,"Le Novere, N",No,"AHCYL1:NAD+:ITPR1:I(1,4,5)P3 tetramer [endoplasmic reticulum membrane]",Complex,Negative Regulator,False,AND,-1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5263633"",""DYSF, CAV3 and TRIM72 bind"")",5263633,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5263628"",""CAV3:TRIM72:DYSF binds ANXAs"")",5263628,"Jassal, B",Yes,CAV3:TRIM72:DYSF [plasma membrane],Complex,Input,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5578777"",""DMPK phosphorylates PLN"")",5578777,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-427910"",""ATP2A1-3 transport Ca2+ from cytosol to ER lumen"")",427910,"Akkerman, JW",Yes,p-S16-PLN pentamer [sarcoplasmic reticulum membrane],Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5578783"",""CORIN(802-1042) hydrolyses NPPA to form NPPA(124-151)"")",5578783,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6784598"",""NPPA(124-151) binds NPR1"")",6784598,"Jassal, B",Yes,NPPA(124-151) [extracellular region],EntityWithAccessionedSequence,Input,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617178"",""ATP2B4 binds to NOS1, inhibiting it"")",5617178,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617182"",""PRKACA phosphorylates PLN"")",5617182,"Jassal, B",Yes,ATP2B4:NOS1 [plasma membrane],Complex,Positive Regulator,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617178"",""ATP2B4 binds to NOS1, inhibiting it"")",5617178,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617179"",""PRKACA phosphorylates TNNI3"")",5617179,"Jassal, B",Yes,ATP2B4:NOS1 [plasma membrane],Complex,Positive Regulator,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617182"",""PRKACA phosphorylates PLN"")",5617182,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-427910"",""ATP2A1-3 transport Ca2+ from cytosol to ER lumen"")",427910,"Akkerman, JW",Yes,p-S16-PLN pentamer [sarcoplasmic reticulum membrane],Complex,Positive Regulator,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74448"",""Calcium binds calmodulin"")",74448,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445797"",""MYLK (MLCK) Active Calmodulin Binding"")",445797,"Gillespie, ME",No,CALM1:4xCa2+ [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74448"",""Calcium binds calmodulin"")",74448,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445813"",""Phosphorylation of Smooth Muscle Myosin Light Chains"")",445813,"Gillespie, ME",No,CALM1:4xCa2+ [cytosol],Complex,Input,False,OR,0,False
