First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,Shared_Entity,Shared_Entity_Class,Shared_Entity_Relation_to_Second_Reaction,IsCyclic?,Logic,Value,Is _It_Curated?
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299475"",""TIMM23 PAM translocates proteins from the mitochndrial intermebrane space to the mitochondrial matrix"")",1299475,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299487"",""Precursor proteins enter TIMM23 SORT"")",1299487,"May, B",Yes,TIMM23 Complex [mitochondrial inner membrane],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299475"",""TIMM23 PAM translocates proteins from the mitochndrial intermebrane space to the mitochondrial matrix"")",1299475,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299480"",""Precursor proteins enter TIMM23 PAM"")",1299480,"May, B",Yes,TIMM23 Complex [mitochondrial inner membrane],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299476"",""MPP cleaves targeting peptide (presequence) of inner membrane precursors"")",1299476,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299482"",""TIMM23 SORT inserts proteins into inner membrane"")",1299482,"May, B",Yes,TIMM23 SORT:Cargo [mitochondrial inner membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299478"",""MPP cleaves targeting peptide (presequence) of matrix precursors"")",1299478,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299475"",""TIMM23 PAM translocates proteins from the mitochndrial intermebrane space to the mitochondrial matrix"")",1299475,"May, B",Yes,TIMM23 PAM:Cargo [mitochondrial inner membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299480"",""Precursor proteins enter TIMM23 PAM"")",1299480,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299478"",""MPP cleaves targeting peptide (presequence) of matrix precursors"")",1299478,"May, B",Yes,TIMM23 PAM:Precursor Cargo [mitochondrial inner membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299481"",""TIMM9:TIMM10 binds hydrophobic proteins"")",1299481,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1955380"",""TIMM9:TIMM10 transfers proteins to TIMM22"")",1955380,"May, B",Yes,TIMM9:TIMM10:Protein [mitochondrial inner membrane],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299482"",""TIMM23 SORT inserts proteins into inner membrane"")",1299482,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299487"",""Precursor proteins enter TIMM23 SORT"")",1299487,"May, B",Yes,TIMM23 Complex [mitochondrial inner membrane],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299482"",""TIMM23 SORT inserts proteins into inner membrane"")",1299482,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299480"",""Precursor proteins enter TIMM23 PAM"")",1299480,"May, B",Yes,TIMM23 Complex [mitochondrial inner membrane],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299487"",""Precursor proteins enter TIMM23 SORT"")",1299487,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299476"",""MPP cleaves targeting peptide (presequence) of inner membrane precursors"")",1299476,"May, B",Yes,TIMM23 SORT:Precursor Cargo [mitochondrial inner membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8953917"",""PEX2:PEX10:PEX12 binds PEX5S,L (in PEX5S:PEX13:PEX14) and Ub:UBE2D1,2,3"")",8953917,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8953946"",""PEX2:PEX10:PEX12 monoubiquitinates PEX5S,L at cysteine-11"")",8953946,"May, B",Yes,"PEX2:PEX10:PEX12:PEX5S,L:Ub:UBE2D1,2,3:PEX13:PEX14 [peroxisomal membrane]",Complex,Input,False,OR,0,True
