First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,Shared_Entity,Shared_Entity_Class,Shared_Entity_Relation_to_Second_Reaction,IsCyclic?,Logic,Value,Is _It_Curated?
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2187332"",""Cytosolic CMs translocate to extracellular region"")",2187332,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395784"",""Nascent CMs transform into mature CMs"")",2395784,"Jassal, B",Yes,nascent CM:atREs [extracellular region],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395764"",""atREs binds to nascent CM"")",2395764,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2187332"",""Cytosolic CMs translocate to extracellular region"")",2187332,"Jassal, B",Yes,nascent CM:atREs [cytosol],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395768"",""LPL hydrolyses TGs from mature CMs"")",2395768,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2424254"",""LDLR transports extracellular CR:atREs to cytosol "")",2424254,"Jassal, B",Yes,CR:atREs [extracellular region],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395768"",""LPL hydrolyses TGs from mature CMs"")",2395768,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2423785"",""CR:atREs binds apoE and HSPG"")",2423785,"Jassal, B",Yes,CR:atREs [extracellular region],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395784"",""Nascent CMs transform into mature CMs"")",2395784,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395768"",""LPL hydrolyses TGs from mature CMs"")",2395768,"Jassal, B",Yes,mature CM:atREs [extracellular region],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2399913"",""atRAL binds to RBP2"")",2399913,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2855252"",""AKRs reduce RBP2:atRAL to RBP2:atROL"")",2855252,"Jassal, B",Yes,RBP2:atRAL [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2399913"",""atRAL binds to RBP2"")",2399913,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975629"",""RDH11 reduces RBP2:atRAL to RBP2:atROL"")",975629,"Stephan, R",Yes,RBP2:atRAL [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404131"",""LRPs transport extracellular CR:atREs:HSPG:apoE to cytosol"")",2404131,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2429643"",""NREH hydrolyses atREs (HSPG:apoE) to atROL and FAs"")",2429643,"Jassal, B",Yes,CR:atREs:HSPG:apoE [early endosome],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404134"",""RBP4:atROL binds TTR"")",2404134,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2453876"",""TTR:RBP:atROL binds to STRA6 receptor"")",2453876,"Jassal, B",No,TTR:RBP4:atROL [extracellular region],Complex,Input,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404135"",""RBP4 binds atROL"")",2404135,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404134"",""RBP4:atROL binds TTR"")",2404134,"Jassal, B",Yes,RBP4:atROL [extracellular region],Complex,Input,False,AND,1,True
