First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,Shared_Entity,Shared_Entity_Class,Shared_Entity_Relation_to_Second_Reaction,IsCyclic?,Logic,Value,Is _It_Curated?
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109700"",""AKT2 binds PIP3"")",109700,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109702"",""PDPK1 phosphorylates AKT2"")",109702,,Yes,AKT2:PIP3 [plasma membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109701"",""PDPK1 binds PIP3"")",109701,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109702"",""PDPK1 phosphorylates AKT2"")",109702,,Yes,PDPK1:PIP3 [plasma membrane],Complex,Catalyst,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109702"",""PDPK1 phosphorylates AKT2"")",109702,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162363"",""p-T309,S474-AKT2:PIP3 phosphorylates PDE3B"")",162363,,Yes,"p-T309,S474-AKT2:PIP3 [plasma membrane]",Complex,Catalyst,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109702"",""PDPK1 phosphorylates AKT2"")",109702,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165162"",""Phosphorylation of TSC2 by PKB"")",165162,"Jupe, S",No,"p-T309,S474-AKT2:PIP3 [plasma membrane]",Complex,Catalyst,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109702"",""PDPK1 phosphorylates AKT2"")",109702,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165182"",""Phosphorylation of complexed TSC2 by PKB"")",165182,"Jupe, S",No,"p-T309,S474-AKT2:PIP3 [plasma membrane]",Complex,Catalyst,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""GRB2:SOS:p-Y427-SHC1 mediated nucleotide exchange of RAS"")",109807,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170986"",""Ral-GDS binds to Ras-GTP"")",170986,"Annibali, D",No,p21 RAS:GTP [plasma membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""GRB2:SOS:p-Y427-SHC1 mediated nucleotide exchange of RAS"")",109807,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5672950"",""""Activator"" RAF:YWHAB dimer binds RAS:GTP"")",5672950,"Rothfels, K",No,p21 RAS:GTP [plasma membrane],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""GRB2:SOS:p-Y427-SHC1 mediated nucleotide exchange of RAS"")",109807,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9658253"",""RAS:GTP binds PI3K"")",9658253,"Rothfels, K",No,p21 RAS:GTP [plasma membrane],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""GRB2:SOS:p-Y427-SHC1 mediated nucleotide exchange of RAS"")",109807,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5658435"",""RAS GAPs bind RAS:GTP"")",5658435,"Rothfels, K",No,p21 RAS:GTP [plasma membrane],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""GRB2:SOS:p-Y427-SHC1 mediated nucleotide exchange of RAS"")",109807,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9649736"",""RAS intrinsic GTPase activity hydrolyzes GTP to GDP"")",9649736,"Rothfels, K",No,p21 RAS:GTP [plasma membrane],Complex,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""GRB2:SOS:p-Y427-SHC1 mediated nucleotide exchange of RAS"")",109807,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5674018"",""BRAP binds RAS:GTP"")",5674018,"Rothfels, K",No,p21 RAS:GTP [plasma membrane],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""GRB2:SOS:p-Y427-SHC1 mediated nucleotide exchange of RAS"")",109807,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8981355"",""RASA1 binds RAS:GTP"")",8981355,"Rothfels, K",No,p21 RAS:GTP [plasma membrane],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""GRB2-1 binds SOS1"")",109813,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-205286"",""GRB2:SOS interacts with p-KIT"")",205286,"Garapati, P V",No,GRB2-1:SOS1 [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""GRB2-1 binds SOS1"")",109813,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250486"",""Recruitment of GRB2:SOS1 to p-SHC1 in complex with phosphorylated ERBB2 heterodimers"")",1250486,"Orlic-Milacic, M",No,GRB2-1:SOS1 [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""GRB2-1 binds SOS1"")",109813,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1306969"",""GRB2:SOS1 complex binds phosphorylated ERBB4:ERBB2 heterodimers"")",1306969,"Orlic-Milacic, M",No,GRB2-1:SOS1 [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""GRB2-1 binds SOS1"")",109813,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250488"",""GRB2:SOS1 complex binds phosphorylated EGFR:ERBB2 heterodimer"")",1250488,"Orlic-Milacic, M",No,GRB2-1:SOS1 [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""GRB2-1 binds SOS1"")",109813,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74746"",""GRB2-1:SOS1 binds p-Y427-SHC1"")",74746,"Charalambous, M",No,GRB2-1:SOS1 [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""GRB2-1 binds SOS1"")",109813,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74736"",""GRB2-1:SOS1 binds p-IRS1,p-IRS2"")",74736,"Charalambous, M",No,GRB2-1:SOS1 [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""GRB2-1 binds SOS1"")",109813,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5686073"",""GRB2-1:SOS1 binds p-3Y-SHC1"")",5686073,,No,GRB2-1:SOS1 [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""GRB2-1 binds SOS1"")",109813,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8851804"",""Activated MET recruits GRB2-1:SOS1"")",8851804,"Orlic-Milacic, M",No,GRB2-1:SOS1 [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""GRB2-1 binds SOS1"")",109813,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8851900"",""SHC1-2 bound to MET recruits GRB2:SOS1"")",8851900,"Orlic-Milacic, M",No,GRB2-1:SOS1 [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""GRB2-1 binds SOS1"")",109813,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250380"",""Recruitment of GRB2:SOS1 to phosphorylated SHC1 in complex with phosphorylated ERBB4 homodimers"")",1250380,"Stern, DF",No,GRB2-1:SOS1 [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""GRB2-1 binds SOS1"")",109813,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9036949"",""NTRK3 binds GRB2:SOS1 through SHC1"")",9036949,"Orlic-Milacic, M",No,GRB2-1:SOS1 [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""GRB2-1 binds SOS1"")",109813,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9032073"",""NTRK2-phosphorylated FRS2 binds GRB2"")",9032073,"Orlic-Milacic, M",No,GRB2-1:SOS1 [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""GRB2-1 binds SOS1"")",109813,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9028328"",""SHC1 bound to activated NTRK2 recruits GRB2:SOS1"")",9028328,"Orlic-Milacic, M",No,GRB2-1:SOS1 [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""GRB2-1 binds SOS1"")",109813,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5685366"",""GRB2-1:SOS1 binds p-Y-SHC"")",5685366,,No,GRB2-1:SOS1 [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""GRB2-1 binds SOS1"")",109813,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177943"",""GRB2:SOS1 complex binds to EGF:EGFR complex"")",177943,"Castagnoli, L",Yes,GRB2-1:SOS1 [cytosol],Complex,Input,False,OR,0,True
