First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,Shared_Entity,Shared_Entity_Class,Shared_Entity_Relation_to_Second_Reaction,IsCyclic?,Logic,Value,Is _It_Curated?
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1445144"",""p-AKT1,p-AKT2 phosphorylates AS160 (TBC1D4)"")",1445144,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1445149"",""14-3-3 binds p-5S,T642-AS160 (TBC1D4)"")",1445149,"May, B",Yes,"p-5S,T642-AS160:IRAP [cytoplasmic vesicle membrane]",Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1449597"",""p-AKT2 phosphorylates Myosin 5A"")",1449597,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2316352"",""SLC2A4 (GLUT4) vesicle translocates and docks at the plasma membrane"")",2316352,"May, B",Yes,p-S1652-MYO5A dimer [cytosol],Complex,Requirem Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1454699"",""AMPK-alpha2 phosphorylates TBC1D1"")",1454699,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1454689"",""14-3-3 Binds p-S237-TBC1D1"")",1454689,"May, B",Yes,p-S237-TBC1D1 [cytosol],EntityWithAccessionedSequence,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1458485"",""RALA hydrolyzes GTP"")",1458485,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2255342"",""RALA exchanges GDP for GTP"")",2255342,"May, B",Yes,GGC-RALA:GDP [cytoplasmic vesicle membrane],Complex,Input,True,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190519"",""Internalization of gap junction plaques"")",190519,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190829"",""Lysosomal degradation of gap junction plaques"")",190829,"Falk, MM",Yes,Invaginating gap junction plaques [lysosomal membrane],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190520"",""Association of Golgi  transport vesicles with microtubules"")",190520,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191737"",""Docking of connexons into junctional, double-membrane spanning channels"")",191737,"Falk, MM",Yes,connexons in Golgi transport vesicle docked to microtubules [cytosol],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190662"",""Connexin oligomerization in Trans-Golgi Network (TGN)"")",190662,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190782"",""Budding of connexon-containing transport vesicles from the Golgi"")",190782,"Falk, MM",Yes,Connexin 43 connexon [Golgi membrane],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190686"",""Transport of connexins to the Trans-Golgi Network (TGN)"")",190686,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190662"",""Connexin oligomerization in Trans-Golgi Network (TGN)"")",190662,"Falk, MM",Yes,GJA1 [Golgi membrane],EntityWithAccessionedSequence,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190693"",""Synthesis of GJB1 (Cx32)"")",190693,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190681"",""Connexin oligomerization in endoplasmic reticulum membrane"")",190681,"Falk, MM",Yes,GJB1 [endoplasmic reticulum membrane],EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190782"",""Budding of connexon-containing transport vesicles from the Golgi"")",190782,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190541"",""Association of Cx43  with TJP1"")",190541,"Falk, MM",Yes,Connexin 43 connexon in Golgi transport vesicle [Golgi-associated vesicle membrane],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190782"",""Budding of connexon-containing transport vesicles from the Golgi"")",190782,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190520"",""Association of Golgi  transport vesicles with microtubules"")",190520,"Falk, MM",Yes,Connexin 43 connexon in Golgi transport vesicle [Golgi-associated vesicle membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190788"",""Formation of junctional channels"")",190788,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190790"",""Assembly of gap junction plaques"")",190790,"Falk, MM",Yes,Junctional channel [plasma membrane],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190877"",""Insertion of connexons into the plasma membrane resulting in the formation of hemi-channels"")",190877,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190520"",""Association of Golgi  transport vesicles with microtubules"")",190520,"Falk, MM",Yes,Microtubule [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190877"",""Insertion of connexons into the plasma membrane resulting in the formation of hemi-channels"")",190877,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2316347"",""RAB4A:GTP binds KIF3 and activates KIF3"")",2316347,"May, B",No,Microtubule [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191072"",""Synthesis of Cx43"")",191072,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190686"",""Transport of connexins to the Trans-Golgi Network (TGN)"")",190686,"Falk, MM",Yes,GJA1 [endoplasmic reticulum membrane],EntityWithAccessionedSequence,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191654"",""c-src associates with Cx43 in gap junctions"")",191654,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191636"",""Phosphorylation of Cx43 by c-src"")",191636,"Falk, MM",Yes,Cx43:ZO-1:c-src gap junction [plasma membrane],Complex,Input,False,OR,0,True
