Pathway,First Reaction,Second Reaction,Second Reaction Author
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114670"",""R-HSA-114670"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429529"",""R-HSA-429529"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140664"",""R-HSA-140664"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429529"",""R-HSA-429529"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""R-HSA-140700"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429529"",""R-HSA-429529"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-397835"",""R-HSA-397835"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-428941"",""R-HSA-428941"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-397835"",""R-HSA-397835"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-396996"",""R-HSA-396996"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-397835"",""R-HSA-397835"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-396941"",""R-HSA-396941"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-397891"",""R-HSA-397891"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-396996"",""R-HSA-396996"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-397891"",""R-HSA-397891"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-396941"",""R-HSA-396941"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418200"",""R-HSA-418200"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418200"",""R-HSA-418200"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418662"",""R-HSA-418662"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-443439"",""R-HSA-443439"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-428752"",""R-HSA-428752"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-428941"",""R-HSA-428941"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430073"",""R-HSA-430073"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-443831"",""R-HSA-443831"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430073"",""R-HSA-430073"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430096"",""R-HSA-430096"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430073"",""R-HSA-430073"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430076"",""R-HSA-430076"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430073"",""R-HSA-430073"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-443418"",""R-HSA-443418"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430073"",""R-HSA-430073"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429529"",""R-HSA-429529"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-434633"",""R-HSA-434633"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-442273"",""R-HSA-442273"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-443910"",""R-HSA-443910"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432096"",""R-HSA-432096"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5684169"",""R-HSA-5684169"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-453200"",""R-HSA-453200"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-983259"",""R-HSA-983259"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-983259"",""R-HSA-983259"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-397835"",""R-HSA-397835"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418091"",""R-HSA-418091"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-397835"",""R-HSA-397835"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418172"",""R-HSA-418172"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-397891"",""R-HSA-397891"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418091"",""R-HSA-418091"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-397891"",""R-HSA-397891"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418172"",""R-HSA-418172"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-426223"",""R-HSA-426223"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-392831"",""R-HSA-392831"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-426223"",""R-HSA-426223"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418309"",""R-HSA-418309"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-426223"",""R-HSA-426223"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418365"",""R-HSA-418365"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-481009"",""R-HSA-481009"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-419490"",""R-HSA-419490"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-481009"",""R-HSA-481009"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-434798"",""R-HSA-434798"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-481009"",""R-HSA-481009"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-426223"",""R-HSA-426223"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-481044"",""R-HSA-481044"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432110"",""R-HSA-432110"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-481044"",""R-HSA-481044"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-435244"",""R-HSA-435244"")","Akkerman, JW"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-997263"",""R-HSA-997263"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-994106"",""R-HSA-994106"")","Akkerman, JW"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-389788"",""R-HSA-389788"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430183"",""R-HSA-430183"")","Akkerman, JW"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430135"",""R-HSA-430135"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430201"",""R-HSA-430201"")","Akkerman, JW"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430190"",""R-HSA-430190"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430183"",""R-HSA-430183"")","Akkerman, JW"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430190"",""R-HSA-430190"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430180"",""R-HSA-430180"")","Akkerman, JW"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6790041"",""R-HSA-6790041"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418436"",""R-HSA-418436"")","Akkerman, JW"
Muscle contraction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617182"",""R-HSA-5617182"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-427910"",""R-HSA-427910"")","Akkerman, JW"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-198270"",""R-HSA-198270"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-437192"",""R-HSA-437192"")","Akkerman, JW"
