Pathway,First Reaction,Second Reaction,Second Reaction Author
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73912"",""R-HSA-73912"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109343"",""R-HSA-109343"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163217"",""R-HSA-163217"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9012268"",""R-HSA-9012268"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71783"",""R-HSA-71783"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9012349"",""R-HSA-9012349"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9012016"",""R-HSA-9012016"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6807826"",""R-HSA-6807826"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3149560"",""R-HSA-3149560"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-508369"",""R-HSA-508369"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-508473"",""R-HSA-508473"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6783939"",""R-HSA-6783939"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70664"",""R-HSA-70664"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9034756"",""R-HSA-9034756"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9013533"",""R-HSA-9013533"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9013471"",""R-HSA-9013471"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9012721"",""R-HSA-9012721"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-507775"",""R-HSA-507775"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6784423"",""R-HSA-6784423"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-904864"",""R-HSA-904864"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70589"",""R-HSA-70589"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71397"",""R-HSA-71397"")","Birney, E"
