Pathway,First Reaction,Second Reaction,Second Reaction Author
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1295621"",""R-HSA-1295621"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183055"",""R-HSA-183055"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1295621"",""R-HSA-1295621"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183052"",""R-HSA-183052"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1295621"",""R-HSA-1295621"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182988"",""R-HSA-182988"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1295621"",""R-HSA-1295621"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183094"",""R-HSA-183094"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1549564"",""R-HSA-1549564"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177920"",""R-HSA-177920"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1549564"",""R-HSA-1549564"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183052"",""R-HSA-183052"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177920"",""R-HSA-177920"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-179467"",""R-HSA-179467"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177934"",""R-HSA-177934"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183067"",""R-HSA-183067"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177937"",""R-HSA-177937"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177925"",""R-HSA-177925"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177937"",""R-HSA-177937"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177941"",""R-HSA-177941"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177937"",""R-HSA-177937"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183055"",""R-HSA-183055"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177937"",""R-HSA-177937"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183067"",""R-HSA-183067"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177944"",""R-HSA-177944"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177923"",""R-HSA-177923"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182969"",""R-HSA-182969"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183072"",""R-HSA-183072"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182994"",""R-HSA-182994"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183002"",""R-HSA-183002"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183058"",""R-HSA-183058"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182994"",""R-HSA-182994"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183084"",""R-HSA-183084"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183058"",""R-HSA-183058"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-212713"",""R-HSA-212713"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177925"",""R-HSA-177925"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-212713"",""R-HSA-212713"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177943"",""R-HSA-177943"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-212713"",""R-HSA-212713"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177941"",""R-HSA-177941"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-212713"",""R-HSA-212713"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183055"",""R-HSA-183055"")","Castagnoli, L"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-212713"",""R-HSA-212713"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-183067"",""R-HSA-183067"")","Castagnoli, L"
