Pathway,First Reaction,Second Reaction,Second Reaction Author
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109863"",""R-HSA-109863"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109857"",""R-HSA-109857"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109864"",""R-HSA-109864"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109858"",""R-HSA-109858"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112342"",""R-HSA-112342"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109860"",""R-HSA-109860"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1549564"",""R-HSA-1549564"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-443910"",""R-HSA-443910"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74746"",""R-HSA-74746"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5658231"",""R-HSA-5658231"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""R-HSA-109807"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5658231"",""R-HSA-5658231"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109817"",""R-HSA-109817"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5686074"",""R-HSA-5686074"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74746"",""R-HSA-74746"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5686315"",""R-HSA-5686315"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74736"",""R-HSA-74736"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8981353"",""R-HSA-8981353"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""R-HSA-109807"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8981353"",""R-HSA-8981353"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109817"",""R-HSA-109817"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9649733"",""R-HSA-9649733"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""R-HSA-109807"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9649733"",""R-HSA-9649733"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109817"",""R-HSA-109817"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9649736"",""R-HSA-9649736"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""R-HSA-109807"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9649736"",""R-HSA-9649736"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109817"",""R-HSA-109817"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5675376"",""R-HSA-5675376"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109857"",""R-HSA-109857"")","Charalambous, M"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5675376"",""R-HSA-5675376"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109858"",""R-HSA-109858"")","Charalambous, M"
