Pathway,First Reaction,Second Reaction,Second Reaction Author
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73758"",""R-HSA-73758"")","Comai, L"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""R-HSA-112385"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73758"",""R-HSA-73758"")","Comai, L"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-427337"",""R-HSA-427337"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73718"",""R-HSA-73718"")","Comai, L"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-427404"",""R-HSA-427404"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73739"",""R-HSA-73739"")","Comai, L"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-427409"",""R-HSA-427409"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74987"",""R-HSA-74987"")","Comai, L"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5211239"",""R-HSA-5211239"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73736"",""R-HSA-73736"")","Comai, L"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73769"",""R-HSA-73769"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74994"",""R-HSA-74994"")","Comai, L"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73946"",""R-HSA-73946"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73758"",""R-HSA-73758"")","Comai, L"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74992"",""R-HSA-74992"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74987"",""R-HSA-74987"")","Comai, L"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74992"",""R-HSA-74992"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74993"",""R-HSA-74993"")","Comai, L"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74992"",""R-HSA-74992"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74994"",""R-HSA-74994"")","Comai, L"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75856"",""R-HSA-75856"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73758"",""R-HSA-73758"")","Comai, L"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75891"",""R-HSA-75891"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73758"",""R-HSA-73758"")","Comai, L"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73722"",""R-HSA-73722"")","Comai, L"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""R-HSA-113412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73722"",""R-HSA-73722"")","Comai, L"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""R-HSA-113429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73722"",""R-HSA-73722"")","Comai, L"
