Pathway,First Reaction,Second Reaction,Second Reaction Author
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-447130"",""R-HSA-447130"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950591"",""R-HSA-8950591"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-447226"",""R-HSA-447226"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8981093"",""R-HSA-8981093"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-447226"",""R-HSA-447226"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950128"",""R-HSA-8950128"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-447226"",""R-HSA-447226"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950423"",""R-HSA-8950423"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-448427"",""R-HSA-448427"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950537"",""R-HSA-8950537"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-448427"",""R-HSA-448427"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950210"",""R-HSA-8950210"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-448702"",""R-HSA-448702"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9012542"",""R-HSA-9012542"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-449115"",""R-HSA-449115"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8983335"",""R-HSA-8983335"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6784791"",""R-HSA-6784791"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950782"",""R-HSA-8950782"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6784791"",""R-HSA-6784791"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950780"",""R-HSA-8950780"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950113"",""R-HSA-8950113"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950575"",""R-HSA-8950575"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950181"",""R-HSA-8950181"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617941"",""R-HSA-9617941"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950181"",""R-HSA-8950181"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950367"",""R-HSA-8950367"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950181"",""R-HSA-8950181"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8981073"",""R-HSA-8981073"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950183"",""R-HSA-8950183"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950741"",""R-HSA-8950741"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950269"",""R-HSA-8950269"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8952823"",""R-HSA-8952823"")","Duenas, C"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950340"",""R-HSA-8950340"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950518"",""R-HSA-8950518"")","Duenas, C"
