Pathway,First Reaction,Second Reaction,Second Reaction Author
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1606561"",""R-HSA-1606561"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912412"",""R-HSA-1912412"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1606682"",""R-HSA-1606682"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912412"",""R-HSA-1912412"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1852623"",""R-HSA-1852623"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912385"",""R-HSA-1912385"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912362"",""R-HSA-1912362"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912409"",""R-HSA-1912409"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912363"",""R-HSA-1912363"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912412"",""R-HSA-1912412"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912364"",""R-HSA-1912364"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912410"",""R-HSA-1912410"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912366"",""R-HSA-1912366"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912409"",""R-HSA-1912409"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912367"",""R-HSA-1912367"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912413"",""R-HSA-1912413"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912368"",""R-HSA-1912368"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912410"",""R-HSA-1912410"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912391"",""R-HSA-1912391"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912394"",""R-HSA-1912394"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912391"",""R-HSA-1912391"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912393"",""R-HSA-1912393"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912394"",""R-HSA-1912394"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912416"",""R-HSA-1912416"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2197562"",""R-HSA-2197562"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912359"",""R-HSA-1912359"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5635854"",""R-HSA-5635854"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1852623"",""R-HSA-1852623"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6807118"",""R-HSA-6807118"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1852623"",""R-HSA-1852623"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9013567"",""R-HSA-9013567"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912359"",""R-HSA-1912359"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9013711"",""R-HSA-9013711"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912359"",""R-HSA-1912359"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9604642"",""R-HSA-9604642"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1852623"",""R-HSA-1852623"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9604719"",""R-HSA-9604719"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912364"",""R-HSA-1912364"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9604719"",""R-HSA-9604719"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912368"",""R-HSA-1912368"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9604719"",""R-HSA-9604719"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912410"",""R-HSA-1912410"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9604831"",""R-HSA-9604831"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1606561"",""R-HSA-1606561"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9604831"",""R-HSA-9604831"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912363"",""R-HSA-1912363"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9604831"",""R-HSA-9604831"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912364"",""R-HSA-1912364"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9604831"",""R-HSA-9604831"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912368"",""R-HSA-1912368"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9604831"",""R-HSA-9604831"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912410"",""R-HSA-1912410"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9604831"",""R-HSA-9604831"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1606682"",""R-HSA-1606682"")","Egan, SE"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9604831"",""R-HSA-9604831"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1912412"",""R-HSA-1912412"")","Egan, SE"
