Pathway,First Reaction,Second Reaction,Second Reaction Author
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1980047"",""R-HSA-1980047"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210836"",""R-HSA-210836"")","Ferrer, J"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210769"",""R-HSA-210769"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211346"",""R-HSA-211346"")","Ferrer, J"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210769"",""R-HSA-210769"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211350"",""R-HSA-211350"")","Ferrer, J"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210769"",""R-HSA-210769"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211301"",""R-HSA-211301"")","Ferrer, J"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210769"",""R-HSA-210769"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211289"",""R-HSA-211289"")","Ferrer, J"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210824"",""R-HSA-210824"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210784"",""R-HSA-210784"")","Ferrer, J"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210824"",""R-HSA-210824"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210788"",""R-HSA-210788"")","Ferrer, J"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210920"",""R-HSA-210920"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211346"",""R-HSA-211346"")","Ferrer, J"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210921"",""R-HSA-210921"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211289"",""R-HSA-211289"")","Ferrer, J"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211272"",""R-HSA-211272"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210773"",""R-HSA-210773"")","Ferrer, J"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211272"",""R-HSA-211272"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210780"",""R-HSA-210780"")","Ferrer, J"
