Pathway,First Reaction,Second Reaction,Second Reaction Author
Cell-Cell communication,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391157"",""R-HSA-391157"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391151"",""R-HSA-391151"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374675"",""R-HSA-374675"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445076"",""R-HSA-445076"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374675"",""R-HSA-374675"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-392751"",""R-HSA-392751"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375160"",""R-HSA-375160"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-419033"",""R-HSA-419033"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375161"",""R-HSA-375161"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-525833"",""R-HSA-525833"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376119"",""R-HSA-376119"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376117"",""R-HSA-376117"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391872"",""R-HSA-391872"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375161"",""R-HSA-375161"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928576"",""R-HSA-3928576"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928616"",""R-HSA-3928616"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928584"",""R-HSA-3928584"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928607"",""R-HSA-3928607"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928592"",""R-HSA-3928592"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-416559"",""R-HSA-416559"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928615"",""R-HSA-3928615"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928594"",""R-HSA-3928594"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928624"",""R-HSA-3928624"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928654"",""R-HSA-3928654"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928624"",""R-HSA-3928624"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928657"",""R-HSA-3928657"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928624"",""R-HSA-3928624"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928615"",""R-HSA-3928615"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928624"",""R-HSA-3928624"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4093329"",""R-HSA-4093329"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928628"",""R-HSA-3928628"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-428522"",""R-HSA-428522"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928628"",""R-HSA-3928628"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445072"",""R-HSA-445072"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928628"",""R-HSA-3928628"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399941"",""R-HSA-399941"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928628"",""R-HSA-3928628"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-400682"",""R-HSA-400682"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928639"",""R-HSA-3928639"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928614"",""R-HSA-3928614"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928642"",""R-HSA-3928642"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-428522"",""R-HSA-428522"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928642"",""R-HSA-3928642"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445072"",""R-HSA-445072"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928642"",""R-HSA-3928642"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399941"",""R-HSA-399941"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928642"",""R-HSA-3928642"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-400682"",""R-HSA-400682"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928651"",""R-HSA-3928651"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928576"",""R-HSA-3928576"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928651"",""R-HSA-3928651"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-416559"",""R-HSA-416559"")","Garapati, P V"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928657"",""R-HSA-3928657"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928624"",""R-HSA-3928624"")","Garapati, P V"
