Pathway,First Reaction,Second Reaction,Second Reaction Author
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""R-HSA-112054"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""R-HSA-112054"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""R-HSA-112055"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""R-HSA-112055"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""R-HSA-112149"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""R-HSA-112149"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""R-HSA-112153"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""R-HSA-112149"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""R-HSA-112153"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""R-HSA-112055"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""R-HSA-112153"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""R-HSA-112054"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""R-HSA-112153"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""R-HSA-112153"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""R-HSA-112155"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""R-HSA-112149"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""R-HSA-112155"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""R-HSA-112055"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""R-HSA-112155"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""R-HSA-112054"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""R-HSA-112155"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""R-HSA-112155"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""R-HSA-112156"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""R-HSA-112149"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""R-HSA-112156"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""R-HSA-112055"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""R-HSA-112156"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""R-HSA-112054"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""R-HSA-112156"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""R-HSA-112156"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113446"",""R-HSA-113446"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113705"",""R-HSA-113705"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113451"",""R-HSA-113451"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""R-HSA-112153"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""R-HSA-112155"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""R-HSA-112156"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""R-HSA-113412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113446"",""R-HSA-113446"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""R-HSA-113412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113705"",""R-HSA-113705"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""R-HSA-113412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113451"",""R-HSA-113451"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""R-HSA-113412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""R-HSA-112153"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""R-HSA-113412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""R-HSA-112155"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""R-HSA-113412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""R-HSA-112156"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""R-HSA-113429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113446"",""R-HSA-113446"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""R-HSA-113429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113705"",""R-HSA-113705"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""R-HSA-113429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113451"",""R-HSA-113451"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""R-HSA-113429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""R-HSA-112153"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""R-HSA-113429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""R-HSA-112155"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""R-HSA-113429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""R-HSA-112156"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113442"",""R-HSA-113442"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113446"",""R-HSA-113446"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113442"",""R-HSA-113442"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113705"",""R-HSA-113705"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113442"",""R-HSA-113442"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113449"",""R-HSA-113449"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113442"",""R-HSA-113442"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113454"",""R-HSA-113454"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113442"",""R-HSA-113442"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113442"",""R-HSA-113442"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113446"",""R-HSA-113446"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113446"",""R-HSA-113446"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113446"",""R-HSA-113446"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113451"",""R-HSA-113451"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113446"",""R-HSA-113446"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113449"",""R-HSA-113449"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113446"",""R-HSA-113446"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113442"",""R-HSA-113442"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113449"",""R-HSA-113449"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113451"",""R-HSA-113451"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113449"",""R-HSA-113449"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113454"",""R-HSA-113454"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113451"",""R-HSA-113451"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113446"",""R-HSA-113446"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113451"",""R-HSA-113451"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113451"",""R-HSA-113451"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113451"",""R-HSA-113451"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113449"",""R-HSA-113449"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113451"",""R-HSA-113451"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113442"",""R-HSA-113442"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113705"",""R-HSA-113705"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113446"",""R-HSA-113446"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113705"",""R-HSA-113705"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113705"",""R-HSA-113705"")","Geiduschek, EP"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113705"",""R-HSA-113705"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113451"",""R-HSA-113451"")","Geiduschek, EP"
