Pathway,First Reaction,Second Reaction,Second Reaction Author
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170161"",""R-HSA-170161"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9624800"",""R-HSA-9624800"")","Gerace, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2993898"",""R-HSA-2993898"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615901"",""R-HSA-9615901"")","Gerace, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615945"",""R-HSA-9615945"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615937"",""R-HSA-9615937"")","Gerace, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615945"",""R-HSA-9615945"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615901"",""R-HSA-9615901"")","Gerace, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9624893"",""R-HSA-9624893"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9624845"",""R-HSA-9624845"")","Gerace, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668405"",""R-HSA-9668405"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668389"",""R-HSA-9668389"")","Gerace, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668415"",""R-HSA-9668415"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668405"",""R-HSA-9668405"")","Gerace, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668415"",""R-HSA-9668415"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668389"",""R-HSA-9668389"")","Gerace, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668415"",""R-HSA-9668415"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668395"",""R-HSA-9668395"")","Gerace, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668415"",""R-HSA-9668415"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668335"",""R-HSA-9668335"")","Gerace, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668415"",""R-HSA-9668415"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668398"",""R-HSA-9668398"")","Gerace, L"
