Pathway,First Reaction,Second Reaction,Second Reaction Author
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1176059"",""R-HSA-1176059"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6791035"",""R-HSA-6791035"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""R-HSA-162914"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3149454"",""R-HSA-3149454"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""R-HSA-162914"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200858"",""R-HSA-200858"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""R-HSA-162914"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200954"",""R-HSA-200954"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""R-HSA-162914"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164943"",""R-HSA-164943"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""R-HSA-162914"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200908"",""R-HSA-200908"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""R-HSA-162914"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167566"",""R-HSA-167566"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""R-HSA-162914"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200879"",""R-HSA-200879"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""R-HSA-162914"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167630"",""R-HSA-167630"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162914"",""R-HSA-162914"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182243"",""R-HSA-182243"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165028"",""R-HSA-165028"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187213"",""R-HSA-187213"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165028"",""R-HSA-165028"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3149454"",""R-HSA-3149454"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165047"",""R-HSA-165047"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9636128"",""R-HSA-9636128"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165047"",""R-HSA-165047"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1176059"",""R-HSA-1176059"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165047"",""R-HSA-165047"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168337"",""R-HSA-168337"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167566"",""R-HSA-167566"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200954"",""R-HSA-200954"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167601"",""R-HSA-167601"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3149454"",""R-HSA-3149454"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167601"",""R-HSA-167601"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200858"",""R-HSA-200858"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167601"",""R-HSA-167601"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200954"",""R-HSA-200954"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167601"",""R-HSA-167601"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164943"",""R-HSA-164943"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167601"",""R-HSA-167601"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200908"",""R-HSA-200908"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167601"",""R-HSA-167601"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167537"",""R-HSA-167537"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167601"",""R-HSA-167601"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167566"",""R-HSA-167566"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167601"",""R-HSA-167601"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200879"",""R-HSA-200879"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167601"",""R-HSA-167601"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182186"",""R-HSA-182186"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167601"",""R-HSA-167601"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167630"",""R-HSA-167630"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167601"",""R-HSA-167601"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182243"",""R-HSA-182243"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173115"",""R-HSA-173115"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3149454"",""R-HSA-3149454"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173642"",""R-HSA-173642"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3149454"",""R-HSA-3149454"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173642"",""R-HSA-173642"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200858"",""R-HSA-200858"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173642"",""R-HSA-173642"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200954"",""R-HSA-200954"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173642"",""R-HSA-173642"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164943"",""R-HSA-164943"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173642"",""R-HSA-173642"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200908"",""R-HSA-200908"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173642"",""R-HSA-173642"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167566"",""R-HSA-167566"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173642"",""R-HSA-173642"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200879"",""R-HSA-200879"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173642"",""R-HSA-173642"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167630"",""R-HSA-167630"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173642"",""R-HSA-173642"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182243"",""R-HSA-182243"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173647"",""R-HSA-173647"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3149454"",""R-HSA-3149454"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174493"",""R-HSA-174493"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174493"",""R-HSA-174493"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-180732"",""R-HSA-180732"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9636128"",""R-HSA-9636128"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-180732"",""R-HSA-180732"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1176059"",""R-HSA-1176059"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-180732"",""R-HSA-180732"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168337"",""R-HSA-168337"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182171"",""R-HSA-182171"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3149454"",""R-HSA-3149454"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182171"",""R-HSA-182171"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200858"",""R-HSA-200858"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182171"",""R-HSA-182171"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200954"",""R-HSA-200954"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182171"",""R-HSA-182171"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164943"",""R-HSA-164943"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182171"",""R-HSA-182171"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200908"",""R-HSA-200908"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182171"",""R-HSA-182171"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167537"",""R-HSA-167537"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182171"",""R-HSA-182171"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167566"",""R-HSA-167566"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182171"",""R-HSA-182171"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200879"",""R-HSA-200879"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182171"",""R-HSA-182171"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182186"",""R-HSA-182186"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182171"",""R-HSA-182171"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167630"",""R-HSA-167630"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182171"",""R-HSA-182171"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182243"",""R-HSA-182243"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182263"",""R-HSA-182263"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3149454"",""R-HSA-3149454"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182263"",""R-HSA-182263"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200858"",""R-HSA-200858"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182263"",""R-HSA-182263"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200954"",""R-HSA-200954"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182263"",""R-HSA-182263"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164943"",""R-HSA-164943"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182263"",""R-HSA-182263"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200908"",""R-HSA-200908"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182263"",""R-HSA-182263"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167566"",""R-HSA-167566"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182263"",""R-HSA-182263"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200879"",""R-HSA-200879"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182263"",""R-HSA-182263"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167630"",""R-HSA-167630"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182263"",""R-HSA-182263"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182243"",""R-HSA-182243"")","Gillespie, ME"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182263"",""R-HSA-182263"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182279"",""R-HSA-182279"")","Gillespie, ME"
