Pathway,First Reaction,Second Reaction,Second Reaction Author
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5654989"",""R-HSA-5654989"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110316"",""R-HSA-110316"")","Gopinathrao, G"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5655170"",""R-HSA-5655170"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110316"",""R-HSA-110316"")","Gopinathrao, G"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5655965"",""R-HSA-5655965"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110307"",""R-HSA-110307"")","Gopinathrao, G"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5656158"",""R-HSA-5656158"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110307"",""R-HSA-110307"")","Gopinathrao, G"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5653770"",""R-HSA-5653770"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110316"",""R-HSA-110316"")","Gopinathrao, G"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5653770"",""R-HSA-5653770"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110307"",""R-HSA-110307"")","Gopinathrao, G"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173115"",""R-HSA-173115"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182859"",""R-HSA-182859"")","Gopinathrao, G"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174494"",""R-HSA-174494"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-171291"",""R-HSA-171291"")","Gopinathrao, G"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-175258"",""R-HSA-175258"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-175174"",""R-HSA-175174"")","Gopinathrao, G"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-175258"",""R-HSA-175258"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-175177"",""R-HSA-175177"")","Gopinathrao, G"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-180627"",""R-HSA-180627"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162590"",""R-HSA-162590"")","Gopinathrao, G"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","Gopinathrao, G"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""R-HSA-112385"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","Gopinathrao, G"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112392"",""R-HSA-112392"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113411"",""R-HSA-113411"")","Gopinathrao, G"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112392"",""R-HSA-112392"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113414"",""R-HSA-113414"")","Gopinathrao, G"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""R-HSA-112385"")","Gopinathrao, G"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","Gopinathrao, G"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""R-HSA-113412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""R-HSA-112385"")","Gopinathrao, G"
