Pathway,First Reaction,Second Reaction,Second Reaction Author
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""R-HSA-2186747"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173545"",""R-HSA-173545"")","Heldin, CH"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""R-HSA-2186747"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173481"",""R-HSA-173481"")","Heldin, CH"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-870437"",""R-HSA-870437"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170847"",""R-HSA-170847"")","Heldin, CH"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170843"",""R-HSA-170843"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-178218"",""R-HSA-178218"")","Heldin, CH"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170843"",""R-HSA-170843"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173512"",""R-HSA-173512"")","Heldin, CH"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-178178"",""R-HSA-178178"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-178189"",""R-HSA-178189"")","Heldin, CH"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-178178"",""R-HSA-178178"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173512"",""R-HSA-173512"")","Heldin, CH"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-178178"",""R-HSA-178178"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170835"",""R-HSA-170835"")","Heldin, CH"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2179276"",""R-HSA-2179276"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-178208"",""R-HSA-178208"")","Heldin, CH"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""R-HSA-2186747"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173545"",""R-HSA-173545"")","Heldin, CH"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""R-HSA-2186747"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173481"",""R-HSA-173481"")","Heldin, CH"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2187395"",""R-HSA-2187395"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170835"",""R-HSA-170835"")","Heldin, CH"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2187401"",""R-HSA-2187401"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170835"",""R-HSA-170835"")","Heldin, CH"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-870437"",""R-HSA-870437"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170847"",""R-HSA-170847"")","Heldin, CH"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9029566"",""R-HSA-9029566"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173481"",""R-HSA-173481"")","Heldin, CH"
