Pathway,First Reaction,Second Reaction,Second Reaction Author
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109955"",""R-HSA-109955"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782141"",""R-HSA-6782141"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358579"",""R-HSA-5358579"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782138"",""R-HSA-6782138"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358579"",""R-HSA-5358579"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5689317"",""R-HSA-5689317"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5687758"",""R-HSA-5687758"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782138"",""R-HSA-6782138"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5687758"",""R-HSA-5687758"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5689317"",""R-HSA-5689317"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5690988"",""R-HSA-5690988"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782141"",""R-HSA-6782141"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5690988"",""R-HSA-5690988"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782138"",""R-HSA-6782138"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5690988"",""R-HSA-5690988"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782004"",""R-HSA-6782004"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5690988"",""R-HSA-5690988"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5689861"",""R-HSA-5689861"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5690988"",""R-HSA-5690988"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5689317"",""R-HSA-5689317"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5690988"",""R-HSA-5690988"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5690991"",""R-HSA-5690991"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782224"",""R-HSA-6782224"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782141"",""R-HSA-6782141"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782224"",""R-HSA-6782224"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782138"",""R-HSA-6782138"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782224"",""R-HSA-6782224"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782004"",""R-HSA-6782004"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782224"",""R-HSA-6782224"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5689861"",""R-HSA-5689861"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782224"",""R-HSA-6782224"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5689317"",""R-HSA-5689317"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782224"",""R-HSA-6782224"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5690991"",""R-HSA-5690991"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782234"",""R-HSA-6782234"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782004"",""R-HSA-6782004"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782234"",""R-HSA-6782234"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6781818"",""R-HSA-6781818"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782234"",""R-HSA-6782234"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5691000"",""R-HSA-5691000"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6785986"",""R-HSA-6785986"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782141"",""R-HSA-6782141"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6785986"",""R-HSA-6785986"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5690991"",""R-HSA-5690991"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6786166"",""R-HSA-6786166"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6781818"",""R-HSA-6781818"")","Hoeijmakers, JH"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6786166"",""R-HSA-6786166"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5691006"",""R-HSA-5691006"")","Hoeijmakers, JH"
