Pathway,First Reaction,Second Reaction,Second Reaction Author
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3225851"",""R-HSA-3225851"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73646"",""R-HSA-73646"")","Jassal, B"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3341343"",""R-HSA-3341343"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73646"",""R-HSA-73646"")","Jassal, B"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3697882"",""R-HSA-3697882"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73646"",""R-HSA-73646"")","Jassal, B"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5251942"",""R-HSA-5251942"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5252041"",""R-HSA-5252041"")","Jassal, B"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5251959"",""R-HSA-5251959"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5252079"",""R-HSA-5252079"")","Jassal, B"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5252041"",""R-HSA-5252041"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5251955"",""R-HSA-5251955"")","Jassal, B"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5252079"",""R-HSA-5252079"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5251942"",""R-HSA-5251942"")","Jassal, B"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082356"",""R-HSA-5082356"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5251955"",""R-HSA-5251955"")","Jassal, B"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8952903"",""R-HSA-8952903"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8952903"",""R-HSA-8952903"")","Jassal, B"
Digestion and absorption,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189242"",""R-HSA-189242"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8932955"",""R-HSA-8932955"")","Jassal, B"
