Pathway,First Reaction,Second Reaction,Second Reaction Author
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4088152"",""R-HSA-4088152"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69199"",""R-HSA-69199"")","Joshi-Tope, G"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170159"",""R-HSA-170159"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69199"",""R-HSA-69199"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810594"",""R-HSA-6810594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5693390"",""R-HSA-5693390"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8862137"",""R-HSA-8862137"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6788597"",""R-HSA-6788597"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75848"",""R-HSA-75848"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161776"",""R-HSA-2161776"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161567"",""R-HSA-2161567"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75851"",""R-HSA-75851"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876889"",""R-HSA-8876889"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9025995"",""R-HSA-9025995"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9025999"",""R-HSA-9025999"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9026007"",""R-HSA-9026007"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9020256"",""R-HSA-9020256"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9020278"",""R-HSA-9020278"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9020262"",""R-HSA-9020262"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9026917"",""R-HSA-9026917"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9024881"",""R-HSA-9024881"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9020255"",""R-HSA-9020255"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9020277"",""R-HSA-9020277"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75872"",""R-HSA-75872"")","Joshi-Tope, G"
