Pathway,First Reaction,Second Reaction,Second Reaction Author
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74448"",""R-HSA-74448"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111930"",""R-HSA-111930"")","Le Novere, N"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167085"",""R-HSA-167085"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111919"",""R-HSA-111919"")","Le Novere, N"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167192"",""R-HSA-167192"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111919"",""R-HSA-111919"")","Le Novere, N"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1482961"",""R-HSA-1482961"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111883"",""R-HSA-111883"")","Le Novere, N"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1483174"",""R-HSA-1483174"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111883"",""R-HSA-111883"")","Le Novere, N"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1483219"",""R-HSA-1483219"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111883"",""R-HSA-111883"")","Le Novere, N"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1482533"",""R-HSA-1482533"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111883"",""R-HSA-111883"")","Le Novere, N"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1482547"",""R-HSA-1482547"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111883"",""R-HSA-111883"")","Le Novere, N"
Muscle contraction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5226904"",""R-HSA-5226904"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169683"",""R-HSA-169683"")","Le Novere, N"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170671"",""R-HSA-170671"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170686"",""R-HSA-170686"")","Le Novere, N"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109864"",""R-HSA-109864"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111898"",""R-HSA-111898"")","Le Novere, N"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111925"",""R-HSA-111925"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177284"",""R-HSA-177284"")","Le Novere, N"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111925"",""R-HSA-111925"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-177275"",""R-HSA-177275"")","Le Novere, N"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112037"",""R-HSA-112037"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111870"",""R-HSA-111870"")","Le Novere, N"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112037"",""R-HSA-112037"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167433"",""R-HSA-167433"")","Le Novere, N"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112042"",""R-HSA-112042"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167427"",""R-HSA-167427"")","Le Novere, N"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112271"",""R-HSA-112271"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167427"",""R-HSA-167427"")","Le Novere, N"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112271"",""R-HSA-112271"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111870"",""R-HSA-111870"")","Le Novere, N"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112271"",""R-HSA-112271"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167408"",""R-HSA-167408"")","Le Novere, N"
