Pathway,First Reaction,Second Reaction,Second Reaction Author
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141423"",""R-HSA-141423"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174104"",""R-HSA-174104"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174058"",""R-HSA-174058"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174057"",""R-HSA-174057"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174105"",""R-HSA-174105"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174088"",""R-HSA-174088"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174157"",""R-HSA-174157"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174144"",""R-HSA-174144"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174157"",""R-HSA-174157"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174121"",""R-HSA-174121"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174157"",""R-HSA-174157"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174227"",""R-HSA-174227"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174157"",""R-HSA-174157"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174120"",""R-HSA-174120"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174202"",""R-HSA-174202"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174144"",""R-HSA-174144"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174202"",""R-HSA-174202"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174121"",""R-HSA-174121"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174202"",""R-HSA-174202"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174227"",""R-HSA-174227"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174202"",""R-HSA-174202"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174120"",""R-HSA-174120"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174203"",""R-HSA-174203"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174209"",""R-HSA-174209"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174203"",""R-HSA-174203"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174159"",""R-HSA-174159"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174238"",""R-HSA-174238"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174144"",""R-HSA-174144"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174238"",""R-HSA-174238"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174224"",""R-HSA-174224"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174238"",""R-HSA-174238"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174227"",""R-HSA-174227"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174255"",""R-HSA-174255"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-179410"",""R-HSA-179410"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174255"",""R-HSA-174255"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174171"",""R-HSA-174171"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174255"",""R-HSA-174255"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174104"",""R-HSA-174104"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-179421"",""R-HSA-179421"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-179410"",""R-HSA-179410"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-179421"",""R-HSA-179421"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174171"",""R-HSA-174171"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-179421"",""R-HSA-179421"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174104"",""R-HSA-174104"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-179421"",""R-HSA-179421"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174238"",""R-HSA-174238"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187574"",""R-HSA-187574"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174057"",""R-HSA-174057"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188191"",""R-HSA-188191"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174057"",""R-HSA-174057"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3002798"",""R-HSA-3002798"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174174"",""R-HSA-174174"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3002798"",""R-HSA-3002798"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174119"",""R-HSA-174119"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4088134"",""R-HSA-4088134"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174174"",""R-HSA-174174"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4088134"",""R-HSA-4088134"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174119"",""R-HSA-174119"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8961699"",""R-HSA-8961699"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174097"",""R-HSA-174097"")","Lorca, T"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8961699"",""R-HSA-8961699"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174235"",""R-HSA-174235"")","Lorca, T"
