Pathway,First Reaction,Second Reaction,Second Reaction Author
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6788597"",""R-HSA-6788597"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-264622"",""R-HSA-264622"")","Mahajan, SS"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75848"",""R-HSA-75848"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-264622"",""R-HSA-264622"")","Mahajan, SS"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1483186"",""R-HSA-1483186"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-264622"",""R-HSA-264622"")","Mahajan, SS"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1483142"",""R-HSA-1483142"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-264622"",""R-HSA-264622"")","Mahajan, SS"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814132"",""R-HSA-6814132"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-264622"",""R-HSA-264622"")","Mahajan, SS"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71735"",""R-HSA-71735"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-264622"",""R-HSA-264622"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1297444"",""R-HSA-1297444"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1296043"",""R-HSA-1296043"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210430"",""R-HSA-210430"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-917744"",""R-HSA-917744"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210430"",""R-HSA-210430"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374922"",""R-HSA-374922"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210430"",""R-HSA-210430"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372505"",""R-HSA-372505"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210430"",""R-HSA-210430"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380905"",""R-HSA-380905"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210430"",""R-HSA-210430"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210426"",""R-HSA-210426"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210430"",""R-HSA-210430"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380574"",""R-HSA-380574"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372529"",""R-HSA-372529"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-917744"",""R-HSA-917744"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372529"",""R-HSA-372529"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374922"",""R-HSA-374922"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372529"",""R-HSA-372529"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372505"",""R-HSA-372505"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372529"",""R-HSA-372529"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380905"",""R-HSA-380905"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372529"",""R-HSA-372529"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210426"",""R-HSA-210426"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372529"",""R-HSA-372529"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380574"",""R-HSA-380574"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374899"",""R-HSA-374899"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-917744"",""R-HSA-917744"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374899"",""R-HSA-374899"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374922"",""R-HSA-374922"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374899"",""R-HSA-374899"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372505"",""R-HSA-372505"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374899"",""R-HSA-374899"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380905"",""R-HSA-380905"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374899"",""R-HSA-374899"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210426"",""R-HSA-210426"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374899"",""R-HSA-374899"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380574"",""R-HSA-380574"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380869"",""R-HSA-380869"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-917744"",""R-HSA-917744"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380869"",""R-HSA-380869"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374922"",""R-HSA-374922"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380869"",""R-HSA-380869"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372505"",""R-HSA-372505"")","Mahajan, SS"
Neuronal System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380869"",""R-HSA-380869"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380905"",""R-HSA-380905"")","Mahajan, SS"
