Pathway,First Reaction,Second Reaction,Second Reaction Author
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-176116"",""R-HSA-176116"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75028"",""R-HSA-75028"")","Matthews, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182594"",""R-HSA-182594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8941895"",""R-HSA-8941895"")","Matthews, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188191"",""R-HSA-188191"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69227"",""R-HSA-69227"")","Matthews, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3000327"",""R-HSA-3000327"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380272"",""R-HSA-380272"")","Matthews, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380283"",""R-HSA-380283"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380508"",""R-HSA-380508"")","Matthews, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380508"",""R-HSA-380508"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380316"",""R-HSA-380316"")","Matthews, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4088305"",""R-HSA-4088305"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380311"",""R-HSA-380311"")","Matthews, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5683792"",""R-HSA-5683792"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-349426"",""R-HSA-349426"")","Matthews, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8852317"",""R-HSA-8852317"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380272"",""R-HSA-380272"")","Matthews, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9659820"",""R-HSA-9659820"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69227"",""R-HSA-69227"")","Matthews, L"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6804879"",""R-HSA-6804879"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-349455"",""R-HSA-349455"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110349"",""R-HSA-110349"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110157"",""R-HSA-110157"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110349"",""R-HSA-110349"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110156"",""R-HSA-110156"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110350"",""R-HSA-110350"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110210"",""R-HSA-110210"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110350"",""R-HSA-110350"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110159"",""R-HSA-110159"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110350"",""R-HSA-110350"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110158"",""R-HSA-110158"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110351"",""R-HSA-110351"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110164"",""R-HSA-110164"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110352"",""R-HSA-110352"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110208"",""R-HSA-110208"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110352"",""R-HSA-110352"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110211"",""R-HSA-110211"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110352"",""R-HSA-110352"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110213"",""R-HSA-110213"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110352"",""R-HSA-110352"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110212"",""R-HSA-110212"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110353"",""R-HSA-110353"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110171"",""R-HSA-110171"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110353"",""R-HSA-110353"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110172"",""R-HSA-110172"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110354"",""R-HSA-110354"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110235"",""R-HSA-110235"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110354"",""R-HSA-110354"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110236"",""R-HSA-110236"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110355"",""R-HSA-110355"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110237"",""R-HSA-110237"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110356"",""R-HSA-110356"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110240"",""R-HSA-110240"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110356"",""R-HSA-110356"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110239"",""R-HSA-110239"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110356"",""R-HSA-110356"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110238"",""R-HSA-110238"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110363"",""R-HSA-110363"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110364"",""R-HSA-110364"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110364"",""R-HSA-110364"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110360"",""R-HSA-110360"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110353"",""R-HSA-110353"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110352"",""R-HSA-110352"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110355"",""R-HSA-110355"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110354"",""R-HSA-110354"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110356"",""R-HSA-110356"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110349"",""R-HSA-110349"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110351"",""R-HSA-110351"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110350"",""R-HSA-110350"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110380"",""R-HSA-110380"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110376"",""R-HSA-110376"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110380"",""R-HSA-110380"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110360"",""R-HSA-110360"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358579"",""R-HSA-5358579"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5693542"",""R-HSA-5693542"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649701"",""R-HSA-5649701"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110235"",""R-HSA-110235"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649701"",""R-HSA-5649701"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110236"",""R-HSA-110236"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649724"",""R-HSA-5649724"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110376"",""R-HSA-110376"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649724"",""R-HSA-5649724"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110360"",""R-HSA-110360"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110353"",""R-HSA-110353"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110352"",""R-HSA-110352"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110355"",""R-HSA-110355"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110354"",""R-HSA-110354"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110356"",""R-HSA-110356"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110349"",""R-HSA-110349"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110351"",""R-HSA-110351"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110350"",""R-HSA-110350"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651782"",""R-HSA-5651782"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110364"",""R-HSA-110364"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651792"",""R-HSA-5651792"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110371"",""R-HSA-110371"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651792"",""R-HSA-5651792"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110360"",""R-HSA-110360"")","Matthews, L"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651809"",""R-HSA-5651809"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110353"",""R-HSA-110353"")","Matthews, L"
