Pathway,First Reaction,Second Reaction,Second Reaction Author
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174441"",""R-HSA-174441"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912503"",""R-HSA-912503"")","May, B"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-176700"",""R-HSA-176700"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912408"",""R-HSA-912408"")","May, B"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3000449"",""R-HSA-3000449"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912505"",""R-HSA-912505"")","May, B"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-606287"",""R-HSA-606287"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-606349"",""R-HSA-606349"")","May, B"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69144"",""R-HSA-69144"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912503"",""R-HSA-912503"")","May, B"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912389"",""R-HSA-912389"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912505"",""R-HSA-912505"")","May, B"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912429"",""R-HSA-912429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912503"",""R-HSA-912503"")","May, B"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912429"",""R-HSA-912429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912496"",""R-HSA-912496"")","May, B"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912496"",""R-HSA-912496"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912503"",""R-HSA-912503"")","May, B"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791173"",""R-HSA-1791173"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9653893"",""R-HSA-9653893"")","May, B"
