Pathway,First Reaction,Second Reaction,Second Reaction Author
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5687120"",""R-HSA-5687120"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692781"",""R-HSA-5692781"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5687120"",""R-HSA-5687120"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692770"",""R-HSA-5692770"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692749"",""R-HSA-5692749"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692754"",""R-HSA-5692754"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692755"",""R-HSA-5692755"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692749"",""R-HSA-5692749"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692761"",""R-HSA-5692761"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692788"",""R-HSA-5692788"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692770"",""R-HSA-5692770"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692775"",""R-HSA-5692775"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692779"",""R-HSA-5692779"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692785"",""R-HSA-5692785"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692781"",""R-HSA-5692781"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692768"",""R-HSA-5692768"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692785"",""R-HSA-5692785"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692794"",""R-HSA-5692794"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692788"",""R-HSA-5692788"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692764"",""R-HSA-5692764"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692788"",""R-HSA-5692788"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692755"",""R-HSA-5692755"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5687086"",""R-HSA-5687086"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692781"",""R-HSA-5692781"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5687086"",""R-HSA-5687086"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692770"",""R-HSA-5692770"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5687107"",""R-HSA-5687107"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692764"",""R-HSA-5692764"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5687107"",""R-HSA-5687107"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692755"",""R-HSA-5692755"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5687109"",""R-HSA-5687109"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692781"",""R-HSA-5692781"")","Meloche, S"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5687109"",""R-HSA-5687109"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5692770"",""R-HSA-5692770"")","Meloche, S"
