Pathway,First Reaction,Second Reaction,Second Reaction Author
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2029445"",""R-HSA-2029445"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9670155"",""R-HSA-9670155"")","Murillo, JI"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2029473"",""R-HSA-2029473"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9666458"",""R-HSA-9666458"")","Murillo, JI"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9664261"",""R-HSA-9664261"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9666425"",""R-HSA-9666425"")","Murillo, JI"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9664271"",""R-HSA-9664271"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9664270"",""R-HSA-9664270"")","Murillo, JI"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9664271"",""R-HSA-9664271"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9666435"",""R-HSA-9666435"")","Murillo, JI"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9664271"",""R-HSA-9664271"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9666426"",""R-HSA-9666426"")","Murillo, JI"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9664271"",""R-HSA-9664271"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9666425"",""R-HSA-9666425"")","Murillo, JI"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9664275"",""R-HSA-9664275"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9666458"",""R-HSA-9666458"")","Murillo, JI"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9664406"",""R-HSA-9664406"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9664275"",""R-HSA-9664275"")","Murillo, JI"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9666428"",""R-HSA-9666428"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9673288"",""R-HSA-9673288"")","Murillo, JI"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9666430"",""R-HSA-9666430"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9673288"",""R-HSA-9673288"")","Murillo, JI"
