Pathway,First Reaction,Second Reaction,Second Reaction Author
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202307"",""R-HSA-202307"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730835"",""R-HSA-2730835"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202453"",""R-HSA-202453"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202534"",""R-HSA-202534"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-209061"",""R-HSA-209061"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730894"",""R-HSA-2730894"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2396594"",""R-HSA-2396594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730892"",""R-HSA-2730892"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2396606"",""R-HSA-2396606"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730851"",""R-HSA-2730851"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2454208"",""R-HSA-2454208"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730882"",""R-HSA-2730882"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2454239"",""R-HSA-2454239"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730833"",""R-HSA-2730833"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2454239"",""R-HSA-2454239"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730851"",""R-HSA-2730851"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2454239"",""R-HSA-2454239"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730886"",""R-HSA-2730886"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730856"",""R-HSA-2730856"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730889"",""R-HSA-2730889"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730888"",""R-HSA-2730888"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730847"",""R-HSA-2730847"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-450358"",""R-HSA-450358"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5607756"",""R-HSA-5607756"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5607757"",""R-HSA-5607757"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5609665"",""R-HSA-5609665"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730876"",""R-HSA-2730876"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-688136"",""R-HSA-688136"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-741411"",""R-HSA-741411"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948018"",""R-HSA-8948018"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948066"",""R-HSA-8948066"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-936381"",""R-HSA-936381"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-936986"",""R-HSA-936986"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-937050"",""R-HSA-937050"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9628444"",""R-HSA-9628444"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9645394"",""R-HSA-9645394"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9654533"",""R-HSA-9654533"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730872"",""R-HSA-2730872"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975118"",""R-HSA-975118"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975122"",""R-HSA-975122"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168640"",""R-HSA-1168640"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730894"",""R-HSA-2730894"")","Niarakis, A"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9653514"",""R-HSA-9653514"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730904"",""R-HSA-2730904"")","Niarakis, A"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202129"",""R-HSA-202129"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730872"",""R-HSA-2730872"")","Niarakis, A"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4332358"",""R-HSA-4332358"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730872"",""R-HSA-2730872"")","Niarakis, A"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9654533"",""R-HSA-9654533"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2730872"",""R-HSA-2730872"")","Niarakis, A"
