Pathway,First Reaction,Second Reaction,Second Reaction Author
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113504"",""R-HSA-113504"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68914"",""R-HSA-68914"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113504"",""R-HSA-113504"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68950"",""R-HSA-68950"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156678"",""R-HSA-156678"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170149"",""R-HSA-170149"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170070"",""R-HSA-170070"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170153"",""R-HSA-170153"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174058"",""R-HSA-174058"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68946"",""R-HSA-68946"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174070"",""R-HSA-174070"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69015"",""R-HSA-69015"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174105"",""R-HSA-174105"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69015"",""R-HSA-69015"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174441"",""R-HSA-174441"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69140"",""R-HSA-69140"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174441"",""R-HSA-174441"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69142"",""R-HSA-69142"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174452"",""R-HSA-174452"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68914"",""R-HSA-68914"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174452"",""R-HSA-174452"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68950"",""R-HSA-68950"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-176702"",""R-HSA-176702"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69074"",""R-HSA-69074"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-176702"",""R-HSA-176702"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69063"",""R-HSA-69063"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-176702"",""R-HSA-176702"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69116"",""R-HSA-69116"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187574"",""R-HSA-187574"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68946"",""R-HSA-68946"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187574"",""R-HSA-187574"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69005"",""R-HSA-69005"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187949"",""R-HSA-187949"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68944"",""R-HSA-68944"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188191"",""R-HSA-188191"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68946"",""R-HSA-68946"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188345"",""R-HSA-188345"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69604"",""R-HSA-69604"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188345"",""R-HSA-188345"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69608"",""R-HSA-69608"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188345"",""R-HSA-188345"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170158"",""R-HSA-170158"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188390"",""R-HSA-188390"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113503"",""R-HSA-113503"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3002798"",""R-HSA-3002798"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156723"",""R-HSA-156723"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3002798"",""R-HSA-3002798"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156673"",""R-HSA-156673"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4088134"",""R-HSA-4088134"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156723"",""R-HSA-156723"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4088134"",""R-HSA-4088134"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156673"",""R-HSA-156673"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4088152"",""R-HSA-4088152"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69604"",""R-HSA-69604"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4088152"",""R-HSA-4088152"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69608"",""R-HSA-69608"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4088152"",""R-HSA-4088152"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170158"",""R-HSA-170158"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5683792"",""R-HSA-5683792"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69608"",""R-HSA-69608"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68913"",""R-HSA-68913"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68960"",""R-HSA-68960"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69068"",""R-HSA-69068"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69053"",""R-HSA-69053"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69144"",""R-HSA-69144"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69140"",""R-HSA-69140"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69144"",""R-HSA-69144"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69142"",""R-HSA-69142"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69199"",""R-HSA-69199"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69195"",""R-HSA-69195"")",None
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8961619"",""R-HSA-8961619"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69005"",""R-HSA-69005"")",None
