Pathway,First Reaction,Second Reaction,Second Reaction Author
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113504"",""R-HSA-113504"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668597"",""R-HSA-9668597"")","Orlic-Milacic, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363274"",""R-HSA-1363274"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363314"",""R-HSA-1363314"")","Orlic-Milacic, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363276"",""R-HSA-1363276"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363306"",""R-HSA-1363306"")","Orlic-Milacic, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363331"",""R-HSA-1363331"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363328"",""R-HSA-1363328"")","Orlic-Milacic, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1638821"",""R-HSA-1638821"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2467809"",""R-HSA-2467809"")","Orlic-Milacic, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170153"",""R-HSA-170153"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5244669"",""R-HSA-5244669"")","Orlic-Milacic, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170161"",""R-HSA-170161"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2514854"",""R-HSA-2514854"")","Orlic-Milacic, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170161"",""R-HSA-170161"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2468293"",""R-HSA-2468293"")","Orlic-Milacic, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170161"",""R-HSA-170161"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2468287"",""R-HSA-2468287"")","Orlic-Milacic, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170161"",""R-HSA-170161"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4086410"",""R-HSA-4086410"")","Orlic-Milacic, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174058"",""R-HSA-174058"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6804724"",""R-HSA-6804724"")","Orlic-Milacic, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174058"",""R-HSA-174058"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6804879"",""R-HSA-6804879"")","Orlic-Milacic, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174058"",""R-HSA-174058"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363331"",""R-HSA-1363331"")","Orlic-Milacic, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174058"",""R-HSA-174058"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9686969"",""R-HSA-9686969"")","Orlic-Milacic, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174452"",""R-HSA-174452"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668597"",""R-HSA-9668597"")","Orlic-Milacic, M"
