Pathway,First Reaction,Second Reaction,Second Reaction Author
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363331"",""R-HSA-1363331"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187552"",""R-HSA-187552"")","Pagano, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174058"",""R-HSA-174058"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187575"",""R-HSA-187575"")","Pagano, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174110"",""R-HSA-174110"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187934"",""R-HSA-187934"")","Pagano, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174110"",""R-HSA-174110"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174164"",""R-HSA-174164"")","Pagano, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174273"",""R-HSA-174273"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187949"",""R-HSA-187949"")","Pagano, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187574"",""R-HSA-187574"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187552"",""R-HSA-187552"")","Pagano, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187574"",""R-HSA-187574"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187575"",""R-HSA-187575"")","Pagano, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187934"",""R-HSA-187934"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187916"",""R-HSA-187916"")","Pagano, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187949"",""R-HSA-187949"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187937"",""R-HSA-187937"")","Pagano, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188191"",""R-HSA-188191"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187575"",""R-HSA-187575"")","Pagano, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188390"",""R-HSA-188390"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188386"",""R-HSA-188386"")","Pagano, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170159"",""R-HSA-170159"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174110"",""R-HSA-174110"")","Pagano, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187574"",""R-HSA-187574"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188386"",""R-HSA-188386"")","Pagano, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187574"",""R-HSA-187574"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187948"",""R-HSA-187948"")","Pagano, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187574"",""R-HSA-187574"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187937"",""R-HSA-187937"")","Pagano, M"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69227"",""R-HSA-69227"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187948"",""R-HSA-187948"")","Pagano, M"
