Pathway,First Reaction,Second Reaction,Second Reaction Author
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112118"",""R-HSA-112118"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657665"",""R-HSA-5657665"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112118"",""R-HSA-112118"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657649"",""R-HSA-5657649"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112118"",""R-HSA-112118"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657641"",""R-HSA-5657641"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112120"",""R-HSA-112120"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657665"",""R-HSA-5657665"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112120"",""R-HSA-112120"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657649"",""R-HSA-5657649"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112120"",""R-HSA-112120"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657641"",""R-HSA-5657641"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112121"",""R-HSA-112121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657665"",""R-HSA-5657665"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112121"",""R-HSA-112121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657649"",""R-HSA-5657649"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112121"",""R-HSA-112121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657641"",""R-HSA-5657641"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112123"",""R-HSA-112123"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657637"",""R-HSA-5657637"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112123"",""R-HSA-112123"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657617"",""R-HSA-5657617"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112123"",""R-HSA-112123"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657642"",""R-HSA-5657642"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112124"",""R-HSA-112124"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657637"",""R-HSA-5657637"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112124"",""R-HSA-112124"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657617"",""R-HSA-5657617"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112124"",""R-HSA-112124"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657642"",""R-HSA-5657642"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112125"",""R-HSA-112125"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657637"",""R-HSA-5657637"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112125"",""R-HSA-112125"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657617"",""R-HSA-5657617"")","Pegg, AE"
DNA Repair,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112125"",""R-HSA-112125"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657642"",""R-HSA-5657642"")","Pegg, AE"
