Pathway,First Reaction,Second Reaction,Second Reaction Author
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1067676"",""R-HSA-1067676"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1067651"",""R-HSA-1067651"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112604"",""R-HSA-1112604"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112755"",""R-HSA-1112755"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112604"",""R-HSA-1112604"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112565"",""R-HSA-1112565"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112604"",""R-HSA-1112604"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112708"",""R-HSA-1112708"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112755"",""R-HSA-1112755"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112602"",""R-HSA-1112602"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168894"",""R-HSA-1168894"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-452102"",""R-HSA-452102"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1170539"",""R-HSA-1170539"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-209125"",""R-HSA-209125"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1170539"",""R-HSA-1170539"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-209063"",""R-HSA-209063"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168166"",""R-HSA-168166"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-448703"",""R-HSA-448703"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-209125"",""R-HSA-209125"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-209063"",""R-HSA-209063"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445752"",""R-HSA-445752"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-450133"",""R-HSA-450133"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445753"",""R-HSA-445753"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445752"",""R-HSA-445752"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446634"",""R-HSA-446634"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446692"",""R-HSA-446692"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446634"",""R-HSA-446634"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446684"",""R-HSA-446684"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446648"",""R-HSA-446648"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446868"",""R-HSA-446868"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446692"",""R-HSA-446692"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446694"",""R-HSA-446694"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446694"",""R-HSA-446694"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446701"",""R-HSA-446701"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446701"",""R-HSA-446701"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446862"",""R-HSA-446862"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446862"",""R-HSA-446862"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446894"",""R-HSA-446894"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446868"",""R-HSA-446868"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446634"",""R-HSA-446634"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446870"",""R-HSA-446870"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-450187"",""R-HSA-450187"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446877"",""R-HSA-446877"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948018"",""R-HSA-8948018"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446894"",""R-HSA-446894"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446648"",""R-HSA-446648"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446894"",""R-HSA-446894"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-450173"",""R-HSA-450173"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446894"",""R-HSA-446894"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446868"",""R-HSA-446868"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-450133"",""R-HSA-450133"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446648"",""R-HSA-446648"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-450173"",""R-HSA-450173"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948015"",""R-HSA-8948015"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-450690"",""R-HSA-450690"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-450827"",""R-HSA-450827"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-450827"",""R-HSA-450827"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948063"",""R-HSA-8948063"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451418"",""R-HSA-451418"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948066"",""R-HSA-8948066"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5609665"",""R-HSA-5609665"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451561"",""R-HSA-451561"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5660663"",""R-HSA-5660663"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-507719"",""R-HSA-507719"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5684250"",""R-HSA-5684250"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451634"",""R-HSA-451634"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5684273"",""R-HSA-5684273"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451634"",""R-HSA-451634"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6785165"",""R-HSA-6785165"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1295516"",""R-HSA-1295516"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6785165"",""R-HSA-6785165"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9025969"",""R-HSA-9025969"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948015"",""R-HSA-8948015"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446877"",""R-HSA-446877"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948018"",""R-HSA-8948018"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446870"",""R-HSA-446870"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948066"",""R-HSA-8948066"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451561"",""R-HSA-451561"")","Ray, KP"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950210"",""R-HSA-8950210"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1067651"",""R-HSA-1067651"")","Ray, KP"
