Pathway,First Reaction,Second Reaction,Second Reaction Author
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-499981"",""R-HSA-499981"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5652172"",""R-HSA-5652172"")","Ribeiro, JM"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5652172"",""R-HSA-5652172"")","Ribeiro, JM"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810594"",""R-HSA-6810594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5652172"",""R-HSA-5652172"")","Ribeiro, JM"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5693390"",""R-HSA-5693390"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5652172"",""R-HSA-5652172"")","Ribeiro, JM"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8862137"",""R-HSA-8862137"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5652172"",""R-HSA-5652172"")","Ribeiro, JM"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1861789"",""R-HSA-1861789"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5652172"",""R-HSA-5652172"")","Ribeiro, JM"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1861788"",""R-HSA-1861788"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5652172"",""R-HSA-5652172"")","Ribeiro, JM"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161776"",""R-HSA-2161776"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5652172"",""R-HSA-5652172"")","Ribeiro, JM"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161567"",""R-HSA-2161567"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5652172"",""R-HSA-5652172"")","Ribeiro, JM"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75889"",""R-HSA-75889"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5652195"",""R-HSA-5652195"")","Ribeiro, JM"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9025995"",""R-HSA-9025995"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5652172"",""R-HSA-5652172"")","Ribeiro, JM"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9025999"",""R-HSA-9025999"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5652172"",""R-HSA-5652172"")","Ribeiro, JM"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9026007"",""R-HSA-9026007"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5652172"",""R-HSA-5652172"")","Ribeiro, JM"
