Pathway,First Reaction,Second Reaction,Second Reaction Author
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114544"",""R-HSA-114544"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5667008"",""R-HSA-5667008"")","Rivero Crespo, F"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114544"",""R-HSA-114544"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5665989"",""R-HSA-5665989"")","Rivero Crespo, F"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1433415"",""R-HSA-1433415"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5663232"",""R-HSA-5663232"")","Rivero Crespo, F"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1433415"",""R-HSA-1433415"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5668714"",""R-HSA-5668714"")","Rivero Crespo, F"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1433415"",""R-HSA-1433415"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5668735"",""R-HSA-5668735"")","Rivero Crespo, F"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194518"",""R-HSA-194518"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5667008"",""R-HSA-5667008"")","Rivero Crespo, F"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194518"",""R-HSA-194518"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5665989"",""R-HSA-5665989"")","Rivero Crespo, F"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-198270"",""R-HSA-198270"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5623632"",""R-HSA-5623632"")","Rivero Crespo, F"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-203070"",""R-HSA-203070"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5665767"",""R-HSA-5665767"")","Rivero Crespo, F"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-203070"",""R-HSA-203070"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5666001"",""R-HSA-5666001"")","Rivero Crespo, F"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-203070"",""R-HSA-203070"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5665751"",""R-HSA-5665751"")","Rivero Crespo, F"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2316429"",""R-HSA-2316429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5623632"",""R-HSA-5623632"")","Rivero Crespo, F"
