Pathway,First Reaction,Second Reaction,Second Reaction Author
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613644"",""R-HSA-9613644"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613768"",""R-HSA-9613768"")","Rothfels, K"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613648"",""R-HSA-9613648"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613644"",""R-HSA-9613644"")","Rothfels, K"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613760"",""R-HSA-9613760"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615638"",""R-HSA-9615638"")","Rothfels, K"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613760"",""R-HSA-9613760"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9621400"",""R-HSA-9621400"")","Rothfels, K"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613760"",""R-HSA-9613760"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9621406"",""R-HSA-9621406"")","Rothfels, K"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613760"",""R-HSA-9613760"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614790"",""R-HSA-9614790"")","Rothfels, K"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613760"",""R-HSA-9613760"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619657"",""R-HSA-9619657"")","Rothfels, K"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613760"",""R-HSA-9613760"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9616116"",""R-HSA-9616116"")","Rothfels, K"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613760"",""R-HSA-9613760"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618559"",""R-HSA-9618559"")","Rothfels, K"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613760"",""R-HSA-9613760"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9621411"",""R-HSA-9621411"")","Rothfels, K"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613760"",""R-HSA-9613760"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618725"",""R-HSA-9618725"")","Rothfels, K"
Developmental Biology,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614273"",""R-HSA-9614273"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613644"",""R-HSA-9613644"")","Rothfels, K"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1839100"",""R-HSA-1839100"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1839094"",""R-HSA-1839094"")","Rothfels, K"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2038386"",""R-HSA-2038386"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2038387"",""R-HSA-2038387"")","Rothfels, K"
