Pathway,First Reaction,Second Reaction,Second Reaction Author
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""R-HSA-114252"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351876"",""R-HSA-351876"")","Schulze-Osthoff, K"
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""R-HSA-114252"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201636"",""R-HSA-201636"")","Schulze-Osthoff, K"
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""R-HSA-114252"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201595"",""R-HSA-201595"")","Schulze-Osthoff, K"
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""R-HSA-114252"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351871"",""R-HSA-351871"")","Schulze-Osthoff, K"
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""R-HSA-114252"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351913"",""R-HSA-351913"")","Schulze-Osthoff, K"
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114419"",""R-HSA-114419"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351876"",""R-HSA-351876"")","Schulze-Osthoff, K"
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114419"",""R-HSA-114419"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201636"",""R-HSA-201636"")","Schulze-Osthoff, K"
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114419"",""R-HSA-114419"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202939"",""R-HSA-202939"")","Schulze-Osthoff, K"
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114419"",""R-HSA-114419"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201595"",""R-HSA-201595"")","Schulze-Osthoff, K"
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114419"",""R-HSA-114419"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351871"",""R-HSA-351871"")","Schulze-Osthoff, K"
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114419"",""R-HSA-114419"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351913"",""R-HSA-351913"")","Schulze-Osthoff, K"
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418845"",""R-HSA-418845"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351876"",""R-HSA-351876"")","Schulze-Osthoff, K"
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418845"",""R-HSA-418845"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201636"",""R-HSA-201636"")","Schulze-Osthoff, K"
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418845"",""R-HSA-418845"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201595"",""R-HSA-201595"")","Schulze-Osthoff, K"
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418845"",""R-HSA-418845"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351871"",""R-HSA-351871"")","Schulze-Osthoff, K"
Programmed Cell Death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418845"",""R-HSA-418845"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351913"",""R-HSA-351913"")","Schulze-Osthoff, K"
