Pathway,First Reaction,Second Reaction,Second Reaction Author
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163120"",""R-HSA-163120"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163096"",""R-HSA-163096"")","Seidel, J"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174441"",""R-HSA-174441"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174451"",""R-HSA-174451"")","Seidel, J"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174441"",""R-HSA-174441"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174445"",""R-HSA-174445"")","Seidel, J"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174446"",""R-HSA-174446"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174456"",""R-HSA-174456"")","Seidel, J"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174447"",""R-HSA-174447"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174452"",""R-HSA-174452"")","Seidel, J"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174452"",""R-HSA-174452"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174425"",""R-HSA-174425"")","Seidel, J"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-176702"",""R-HSA-176702"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174448"",""R-HSA-174448"")","Seidel, J"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-176702"",""R-HSA-176702"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174439"",""R-HSA-174439"")","Seidel, J"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-181450"",""R-HSA-181450"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-176700"",""R-HSA-176700"")","Seidel, J"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187949"",""R-HSA-187949"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163096"",""R-HSA-163096"")","Seidel, J"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69144"",""R-HSA-69144"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174451"",""R-HSA-174451"")","Seidel, J"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69144"",""R-HSA-69144"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174445"",""R-HSA-174445"")","Seidel, J"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912429"",""R-HSA-912429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174445"",""R-HSA-174445"")","Seidel, J"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668597"",""R-HSA-9668597"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174425"",""R-HSA-174425"")","Seidel, J"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668831"",""R-HSA-9668831"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174425"",""R-HSA-174425"")","Seidel, J"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187574"",""R-HSA-187574"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163096"",""R-HSA-163096"")","Seidel, J"
