Pathway,First Reaction,Second Reaction,Second Reaction Author
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694471"",""R-HSA-9694471"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694454"",""R-HSA-9694454"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694549"",""R-HSA-9694549"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694499"",""R-HSA-9694499"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694549"",""R-HSA-9694549"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694506"",""R-HSA-9694506"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694549"",""R-HSA-9694549"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694454"",""R-HSA-9694454"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694549"",""R-HSA-9694549"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694521"",""R-HSA-9694521"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694549"",""R-HSA-9694549"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694721"",""R-HSA-9694721"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694576"",""R-HSA-9694576"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694499"",""R-HSA-9694499"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694576"",""R-HSA-9694576"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694506"",""R-HSA-9694506"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694576"",""R-HSA-9694576"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694454"",""R-HSA-9694454"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694576"",""R-HSA-9694576"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694521"",""R-HSA-9694521"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694576"",""R-HSA-9694576"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694721"",""R-HSA-9694721"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694581"",""R-HSA-9694581"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694499"",""R-HSA-9694499"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694581"",""R-HSA-9694581"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694506"",""R-HSA-9694506"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694581"",""R-HSA-9694581"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694454"",""R-HSA-9694454"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694581"",""R-HSA-9694581"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694521"",""R-HSA-9694521"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694581"",""R-HSA-9694581"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694721"",""R-HSA-9694721"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694723"",""R-HSA-9694723"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694454"",""R-HSA-9694454"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694732"",""R-HSA-9694732"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9691363"",""R-HSA-9691363"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694732"",""R-HSA-9694732"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694436"",""R-HSA-9694436"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694732"",""R-HSA-9694732"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694542"",""R-HSA-9694542"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694732"",""R-HSA-9694732"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694445"",""R-HSA-9694445"")","Senff-Ribeiro, A"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694732"",""R-HSA-9694732"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694524"",""R-HSA-9694524"")","Senff-Ribeiro, A"
