Pathway,First Reaction,Second Reaction,Second Reaction Author
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8863013"",""R-HSA-8863013"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8863674"",""R-HSA-8863674"")","Shah, K"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8863013"",""R-HSA-8863013"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8868666"",""R-HSA-8868666"")","Shah, K"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8868134"",""R-HSA-8868134"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8863012"",""R-HSA-8863012"")","Shah, K"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8870710"",""R-HSA-8870710"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8863009"",""R-HSA-8863009"")","Shah, K"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167085"",""R-HSA-167085"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8863014"",""R-HSA-8863014"")","Shah, K"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167085"",""R-HSA-167085"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8868340"",""R-HSA-8868340"")","Shah, K"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167085"",""R-HSA-167085"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8868666"",""R-HSA-8868666"")","Shah, K"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167085"",""R-HSA-167085"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8868344"",""R-HSA-8868344"")","Shah, K"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167192"",""R-HSA-167192"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8863014"",""R-HSA-8863014"")","Shah, K"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167192"",""R-HSA-167192"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8868340"",""R-HSA-8868340"")","Shah, K"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167192"",""R-HSA-167192"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8868666"",""R-HSA-8868666"")","Shah, K"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167192"",""R-HSA-167192"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8868344"",""R-HSA-8868344"")","Shah, K"
