Pathway,First Reaction,Second Reaction,Second Reaction Author
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371467"",""R-HSA-3371467"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371554"",""R-HSA-3371554"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371467"",""R-HSA-3371467"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371537"",""R-HSA-3371537"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371467"",""R-HSA-3371467"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371518"",""R-HSA-3371518"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371503"",""R-HSA-3371503"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371422"",""R-HSA-3371422"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371527"",""R-HSA-3371527"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5324617"",""R-HSA-5324617"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371527"",""R-HSA-3371527"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371582"",""R-HSA-3371582"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371527"",""R-HSA-3371527"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082405"",""R-HSA-5082405"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371527"",""R-HSA-3371527"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082387"",""R-HSA-5082387"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371527"",""R-HSA-3371527"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5333051"",""R-HSA-5333051"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371554"",""R-HSA-3371554"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371518"",""R-HSA-3371518"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371567"",""R-HSA-3371567"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371518"",""R-HSA-3371518"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371586"",""R-HSA-3371586"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371531"",""R-HSA-3371531"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371586"",""R-HSA-3371586"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371435"",""R-HSA-3371435"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371586"",""R-HSA-3371586"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4793911"",""R-HSA-4793911"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371586"",""R-HSA-3371586"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5618098"",""R-HSA-5618098"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371586"",""R-HSA-3371586"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5618110"",""R-HSA-5618110"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371586"",""R-HSA-3371586"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371503"",""R-HSA-3371503"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4793819"",""R-HSA-4793819"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082384"",""R-HSA-5082384"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082369"",""R-HSA-5082369"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4793819"",""R-HSA-4793819"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082384"",""R-HSA-5082384"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371554"",""R-HSA-3371554"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082387"",""R-HSA-5082387"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082356"",""R-HSA-5082356"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082391"",""R-HSA-5082391"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5324617"",""R-HSA-5324617"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082391"",""R-HSA-5082391"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371582"",""R-HSA-3371582"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082391"",""R-HSA-5082391"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082405"",""R-HSA-5082405"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082391"",""R-HSA-5082391"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082387"",""R-HSA-5082387"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082405"",""R-HSA-5082405"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082356"",""R-HSA-5082356"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5324632"",""R-HSA-5324632"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371531"",""R-HSA-3371531"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5324632"",""R-HSA-5324632"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371435"",""R-HSA-3371435"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5324632"",""R-HSA-5324632"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4793911"",""R-HSA-4793911"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5324632"",""R-HSA-5324632"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5618098"",""R-HSA-5618098"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5324632"",""R-HSA-5324632"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5618110"",""R-HSA-5618110"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5324632"",""R-HSA-5324632"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371503"",""R-HSA-3371503"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5618073"",""R-HSA-5618073"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5618105"",""R-HSA-5618105"")","Shamovsky, V"
Cellular responses to external stimuli,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5618098"",""R-HSA-5618098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371590"",""R-HSA-3371590"")","Shamovsky, V"
