Pathway,First Reaction,Second Reaction,Second Reaction Author
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222412"",""R-HSA-1222412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222690"",""R-HSA-1222690"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""R-HSA-1222417"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222346"",""R-HSA-1222346"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""R-HSA-1222417"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222526"",""R-HSA-1222526"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""R-HSA-1222417"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222431"",""R-HSA-1222431"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222485"",""R-HSA-1222485"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222363"",""R-HSA-1222363"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222485"",""R-HSA-1222485"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""R-HSA-1222417"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222644"",""R-HSA-1222644"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222755"",""R-HSA-1222755"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""R-HSA-1222655"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222346"",""R-HSA-1222346"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""R-HSA-1222655"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222526"",""R-HSA-1222526"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""R-HSA-1222655"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222431"",""R-HSA-1222431"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222690"",""R-HSA-1222690"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""R-HSA-1222655"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-167601"",""R-HSA-167601"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9636397"",""R-HSA-9636397"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182171"",""R-HSA-182171"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9636397"",""R-HSA-9636397"")","Stephan, R"
