Pathway,First Reaction,Second Reaction,Second Reaction Author
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250380"",""R-HSA-1250380"")","Stern, DF"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5658231"",""R-HSA-5658231"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250383"",""R-HSA-1250383"")","Stern, DF"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74748"",""R-HSA-74748"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250357"",""R-HSA-1250357"")","Stern, DF"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8954182"",""R-HSA-8954182"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8954179"",""R-HSA-8954179"")","Stern, DF"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8981353"",""R-HSA-8981353"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250383"",""R-HSA-1250383"")","Stern, DF"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9612219"",""R-HSA-9612219"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1252013"",""R-HSA-1252013"")","Stern, DF"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9612671"",""R-HSA-9612671"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1236398"",""R-HSA-1236398"")","Stern, DF"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9649733"",""R-HSA-9649733"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250383"",""R-HSA-1250383"")","Stern, DF"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9649736"",""R-HSA-9649736"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250383"",""R-HSA-1250383"")","Stern, DF"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1251992"",""R-HSA-1251992"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1253300"",""R-HSA-1253300"")","Stern, DF"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1251997"",""R-HSA-1251997"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1253300"",""R-HSA-1253300"")","Stern, DF"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1251997"",""R-HSA-1251997"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1973956"",""R-HSA-1973956"")","Stern, DF"
Signal Transduction,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9612671"",""R-HSA-9612671"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1253300"",""R-HSA-1253300"")","Stern, DF"
