Pathway,First Reaction,Second Reaction,Second Reaction Author
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613494"",""R-HSA-9613494"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613497"",""R-HSA-9613497"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75949"",""R-HSA-75949"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""R-HSA-112385"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613494"",""R-HSA-9613494"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""R-HSA-112385"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613497"",""R-HSA-9613497"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""R-HSA-112385"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75949"",""R-HSA-75949"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75873"",""R-HSA-75873"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-76576"",""R-HSA-76576"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111264"",""R-HSA-111264"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613497"",""R-HSA-9613497"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75850"",""R-HSA-75850"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""R-HSA-113402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75869"",""R-HSA-75869"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""R-HSA-113412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75873"",""R-HSA-75873"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""R-HSA-113412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-76576"",""R-HSA-76576"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""R-HSA-113412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111264"",""R-HSA-111264"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""R-HSA-113412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613497"",""R-HSA-9613497"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""R-HSA-113412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75850"",""R-HSA-75850"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""R-HSA-113412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75869"",""R-HSA-75869"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""R-HSA-113429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75873"",""R-HSA-75873"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""R-HSA-113429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-76576"",""R-HSA-76576"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""R-HSA-113429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111264"",""R-HSA-111264"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""R-HSA-113429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613497"",""R-HSA-9613497"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""R-HSA-113429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75850"",""R-HSA-75850"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""R-HSA-113429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75869"",""R-HSA-75869"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73946"",""R-HSA-73946"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75873"",""R-HSA-75873"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73946"",""R-HSA-73946"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-76576"",""R-HSA-76576"")","Timmers, HTM"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73946"",""R-HSA-73946"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111264"",""R-HSA-111264"")","Timmers, HTM"
