Pathway,First Reaction,Second Reaction,Second Reaction Author
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9684273"",""R-HSA-9684273"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9687435"",""R-HSA-9687435"")","Varusai, TM"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9684351"",""R-HSA-9684351"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9687435"",""R-HSA-9687435"")","Varusai, TM"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694377"",""R-HSA-9694377"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9698265"",""R-HSA-9698265"")","Varusai, TM"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694441"",""R-HSA-9694441"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9698265"",""R-HSA-9698265"")","Varusai, TM"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5658231"",""R-HSA-5658231"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9607304"",""R-HSA-9607304"")","Varusai, TM"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950210"",""R-HSA-8950210"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8984001"",""R-HSA-8984001"")","Varusai, TM"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8950210"",""R-HSA-8950210"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8983518"",""R-HSA-8983518"")","Varusai, TM"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8983845"",""R-HSA-8983845"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8983841"",""R-HSA-8983841"")","Varusai, TM"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8983878"",""R-HSA-8983878"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8983876"",""R-HSA-8983876"")","Varusai, TM"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8983983"",""R-HSA-8983983"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8983996"",""R-HSA-8983996"")","Varusai, TM"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8984023"",""R-HSA-8984023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8984021"",""R-HSA-8984021"")","Varusai, TM"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008052"",""R-HSA-9008052"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008043"",""R-HSA-9008043"")","Varusai, TM"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9645134"",""R-HSA-9645134"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9645126"",""R-HSA-9645126"")","Varusai, TM"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9649733"",""R-HSA-9649733"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9607304"",""R-HSA-9607304"")","Varusai, TM"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9649736"",""R-HSA-9649736"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9607304"",""R-HSA-9607304"")","Varusai, TM"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168894"",""R-HSA-1168894"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9645134"",""R-HSA-9645134"")","Varusai, TM"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6785165"",""R-HSA-6785165"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9645134"",""R-HSA-9645134"")","Varusai, TM"
