Pathway,First Reaction,Second Reaction,Second Reaction Author
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6783221"",""R-HSA-6783221"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71676"",""R-HSA-71676"")","Vastrik, I"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174394"",""R-HSA-174394"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71676"",""R-HSA-71676"")","Vastrik, I"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141202"",""R-HSA-141202"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71676"",""R-HSA-71676"")","Vastrik, I"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141186"",""R-HSA-141186"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71676"",""R-HSA-71676"")","Vastrik, I"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141200"",""R-HSA-141200"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71676"",""R-HSA-71676"")","Vastrik, I"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-965019"",""R-HSA-965019"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71676"",""R-HSA-71676"")","Vastrik, I"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3204311"",""R-HSA-3204311"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71676"",""R-HSA-71676"")","Vastrik, I"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-965079"",""R-HSA-965079"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71676"",""R-HSA-71676"")","Vastrik, I"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2408542"",""R-HSA-2408542"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71676"",""R-HSA-71676"")","Vastrik, I"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5333608"",""R-HSA-5333608"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71676"",""R-HSA-71676"")","Vastrik, I"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74247"",""R-HSA-74247"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71676"",""R-HSA-71676"")","Vastrik, I"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74258"",""R-HSA-74258"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71676"",""R-HSA-71676"")","Vastrik, I"
