Pathway,First Reaction,Second Reaction,Second Reaction Author
Metabolism of RNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72180"",""R-HSA-72180"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77591"",""R-HSA-77591"")","Wahle, E"
Metabolism of RNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72180"",""R-HSA-72180"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77590"",""R-HSA-77590"")","Wahle, E"
Metabolism of RNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72185"",""R-HSA-72185"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72185"",""R-HSA-72185"")","Wahle, E"
Metabolism of RNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72185"",""R-HSA-72185"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77589"",""R-HSA-77589"")","Wahle, E"
Metabolism of RNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72185"",""R-HSA-72185"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77591"",""R-HSA-77591"")","Wahle, E"
Metabolism of RNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77592"",""R-HSA-77592"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77591"",""R-HSA-77591"")","Wahle, E"
Metabolism of RNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77592"",""R-HSA-77592"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77590"",""R-HSA-77590"")","Wahle, E"
Metabolism of RNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77593"",""R-HSA-77593"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72185"",""R-HSA-72185"")","Wahle, E"
Metabolism of RNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77593"",""R-HSA-77593"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77591"",""R-HSA-77591"")","Wahle, E"
Metabolism of RNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77593"",""R-HSA-77593"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77590"",""R-HSA-77590"")","Wahle, E"
Metabolism of RNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77594"",""R-HSA-77594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77589"",""R-HSA-77589"")","Wahle, E"
