Pathway,First Reaction,Second Reaction,Second Reaction Author
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""R-HSA-2186747"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-870538"",""R-HSA-870538"")","Williams, MG"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""R-HSA-3215295"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-870449"",""R-HSA-870449"")","Williams, MG"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215310"",""R-HSA-3215310"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-870449"",""R-HSA-870449"")","Williams, MG"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-870437"",""R-HSA-870437"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-870479"",""R-HSA-870479"")","Williams, MG"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-870449"",""R-HSA-870449"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-870538"",""R-HSA-870538"")","Williams, MG"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939801"",""R-HSA-8939801"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-870449"",""R-HSA-870449"")","Williams, MG"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008475"",""R-HSA-9008475"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-870449"",""R-HSA-870449"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855154"",""R-HSA-1855154"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1482976"",""R-HSA-1482976"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855210"",""R-HSA-1855210"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1482976"",""R-HSA-1482976"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855211"",""R-HSA-1855211"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1482976"",""R-HSA-1482976"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6809565"",""R-HSA-6809565"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855154"",""R-HSA-1855154"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6809561"",""R-HSA-6809561"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855154"",""R-HSA-1855154"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855214"",""R-HSA-1855214"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1482961"",""R-HSA-1482961"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855214"",""R-HSA-1855214"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1482647"",""R-HSA-1482647"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855214"",""R-HSA-1855214"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1482811"",""R-HSA-1482811"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855214"",""R-HSA-1855214"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1482889"",""R-HSA-1482889"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855214"",""R-HSA-1855214"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1482962"",""R-HSA-1482962"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399998"",""R-HSA-399998"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855190"",""R-HSA-1855190"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399998"",""R-HSA-399998"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855222"",""R-HSA-1855222"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399998"",""R-HSA-399998"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855174"",""R-HSA-1855174"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399998"",""R-HSA-399998"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855153"",""R-HSA-1855153"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696119"",""R-HSA-5696119"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1483142"",""R-HSA-1483142"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163595"",""R-HSA-163595"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1483142"",""R-HSA-1483142"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161792"",""R-HSA-2161792"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161745"",""R-HSA-2161745"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161979"",""R-HSA-2161979"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161692"",""R-HSA-2161692"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161614"",""R-HSA-2161614"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161549"",""R-HSA-2161549"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161651"",""R-HSA-2161651"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161890"",""R-HSA-2161890"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161899"",""R-HSA-2161899"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161951"",""R-HSA-2161951"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161844"",""R-HSA-2161844"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5263616"",""R-HSA-5263616"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5263614"",""R-HSA-5263614"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2408548"",""R-HSA-2408548"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2408558"",""R-HSA-2408558"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194023"",""R-HSA-194023"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2408542"",""R-HSA-2408542"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696822"",""R-HSA-5696822"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2162194"",""R-HSA-2162194"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696822"",""R-HSA-5696822"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2162187"",""R-HSA-2162187"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696822"",""R-HSA-5696822"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2162191"",""R-HSA-2162191"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810594"",""R-HSA-6810594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161792"",""R-HSA-2161792"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810594"",""R-HSA-6810594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161745"",""R-HSA-2161745"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810594"",""R-HSA-6810594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161979"",""R-HSA-2161979"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810594"",""R-HSA-6810594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161692"",""R-HSA-2161692"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810594"",""R-HSA-6810594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161614"",""R-HSA-2161614"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810594"",""R-HSA-6810594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161549"",""R-HSA-2161549"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810594"",""R-HSA-6810594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161651"",""R-HSA-2161651"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810594"",""R-HSA-6810594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161890"",""R-HSA-2161890"")","Williams, MG"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810594"",""R-HSA-6810594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161899"",""R-HSA-2161899"")","Williams, MG"
