Pathway,First Reaction,Second Reaction,Second Reaction Author
Extracellular matrix organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592297"",""R-HSA-1592297"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375135"",""R-HSA-375135"")","de Bono, B"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-204779"",""R-HSA-204779"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210872"",""R-HSA-210872"")","de Bono, B"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210285"",""R-HSA-210285"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210291"",""R-HSA-210291"")","de Bono, B"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-435244"",""R-HSA-435244"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210290"",""R-HSA-210290"")","de Bono, B"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-435244"",""R-HSA-435244"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210283"",""R-HSA-210283"")","de Bono, B"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-481044"",""R-HSA-481044"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210304"",""R-HSA-210304"")","de Bono, B"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-481044"",""R-HSA-481044"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210285"",""R-HSA-210285"")","de Bono, B"
Hemostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-482775"",""R-HSA-482775"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-204485"",""R-HSA-204485"")","de Bono, B"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1236964"",""R-HSA-1236964"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-198955"",""R-HSA-198955"")","de Bono, B"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1236965"",""R-HSA-1236965"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-198955"",""R-HSA-198955"")","de Bono, B"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166038"",""R-HSA-166038"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166015"",""R-HSA-166015"")","de Bono, B"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166168"",""R-HSA-166168"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166175"",""R-HSA-166175"")","de Bono, B"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166245"",""R-HSA-166245"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166271"",""R-HSA-166271"")","de Bono, B"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166362"",""R-HSA-166362"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166091"",""R-HSA-166091"")","de Bono, B"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166795"",""R-HSA-166795"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173636"",""R-HSA-173636"")","de Bono, B"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169719"",""R-HSA-169719"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-166015"",""R-HSA-166015"")","de Bono, B"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202164"",""R-HSA-202164"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202222"",""R-HSA-202222"")","de Bono, B"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202164"",""R-HSA-202164"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202394"",""R-HSA-202394"")","de Bono, B"
